Burning Rock Biotech PE Ratio Historical Data,Burning Rock Biotech PE Ratio Historical Data,Burning Rock Biotech PE Ratio Historical Data,Burning Rock Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.76,,0.0
2024-09-30,3.27,$-3.00,0.0
2024-06-30,6.45,$-4.80,0.0
2024-03-31,0.73,$-6.46,0.0
2023-12-31,0.93,$-8.90,0.0
2023-09-30,0.97,$-9.80,0.0
2023-06-30,2.15,$-10.60,0.0
2023-03-31,2.81,$-12.50,0.0
2022-12-31,2.25,$-13.80,0.0
2022-09-30,2.39,$-14.50,0.0
2022-06-30,2.91,$-13.90,0.0
2022-03-31,9.29,$-13.20,0.0
2021-12-31,9.53,$-11.80,0.0
2021-09-30,17.88,$-8.00,0.0
2021-06-30,29.46,$-7.30,0.0
2021-03-31,26.92,$-8.10,0.0
