Sabine Royalty Trust PE Ratio Historical Data,Sabine Royalty Trust PE Ratio Historical Data,Sabine Royalty Trust PE Ratio Historical Data,Sabine Royalty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.13,,12.29
2024-12-31,64.81,$5.46,11.87
2024-09-30,60.53,$6.49,9.33
2024-06-30,62.14,$6.12,10.15
2024-03-31,59.53,$5.76,10.33
2023-12-31,62.27,$6.19,10.06
2023-09-30,58.49,$6.18,9.46
2023-06-30,57.66,$7.92,7.28
2023-03-31,61.5,$8.64,7.12
2022-12-31,71.65,$8.42,8.51
2022-09-30,57.73,$6.13,9.42
2022-06-30,47.96,$4.39,10.92
2022-03-31,44.14,$3.35,13.18
2021-12-31,30.81,$2.38,12.95
2021-09-30,30.91,$2.80,11.04
2021-06-30,28.47,$2.37,12.01
2021-03-31,20.97,$2.18,9.62
2020-12-31,19.17,$2.28,8.41
2020-09-30,19.46,$2.61,7.46
2020-06-30,18.16,$2.81,6.46
2020-03-31,17.73,$2.85,6.22
2019-12-31,25.32,$3.02,8.39
2019-09-30,26.8,$3.37,7.95
2019-06-30,29.58,$3.44,8.6
2019-03-31,28.0,$3.62,7.73
2018-12-31,21.99,$3.42,6.43
2018-09-30,24.22,$2.32,10.44
2018-06-30,26.57,$2.12,12.53
2018-03-31,24.33,$1.80,13.52
2017-12-31,24.35,$1.79,13.6
2017-09-30,22.01,$2.27,9.7
2017-06-30,20.58,$2.27,9.07
2017-03-31,18.55,$2.13,8.71
2016-12-31,18.05,$1.88,9.6
2016-09-30,18.63,$2.01,9.27
2016-06-30,16.71,$2.32,7.2
2016-03-31,14.62,$2.57,5.69
2015-12-31,12.73,$3.15,4.04
2015-09-30,14.58,$3.36,4.34
2015-06-30,17.54,$3.70,4.74
2015-03-31,17.94,$4.13,4.34
2014-12-31,15.92,$4.03,3.95
2014-09-30,23.62,$4.16,5.68
2014-06-30,25.92,$4.08,6.35
2014-03-31,20.7,$3.90,5.31
2013-12-31,20.8,$4.03,5.16
2013-09-30,20.53,$3.87,5.3
2013-06-30,20.44,$3.54,5.77
2013-03-31,18.09,$3.62,5.0
2012-12-31,15.16,$3.59,4.22
2012-09-30,19.36,$3.69,5.25
2012-06-30,18.45,$4.02,4.59
2012-03-31,21.73,$4.12,5.27
2011-12-31,22.44,$4.02,5.58
2011-09-30,22.13,$4.02,5.51
2011-06-30,21.96,$3.81,5.76
2011-03-31,20.54,$3.65,5.63
2010-12-31,19.92,$3.70,5.38
2010-09-30,17.45,$3.45,5.06
2010-06-30,15.23,$3.18,4.79
2010-03-31,14.44,$2.94,4.91
2009-12-31,12.75,$2.69,4.74
