Nouveau Monde Graphite PE Ratio Historical Data,Nouveau Monde Graphite PE Ratio Historical Data,Nouveau Monde Graphite PE Ratio Historical Data,Nouveau Monde Graphite PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.68,,0.0
2024-09-30,1.57,$-0.64,0.0
2024-06-30,1.88,$-0.78,0.0
2024-03-31,2.29,$-0.72,0.0
2023-12-31,2.61,$-0.73,0.0
2023-09-30,2.64,$-0.63,0.0
2023-06-30,3.04,$-0.62,0.0
2023-03-31,5.13,$-0.81,0.0
2022-12-31,3.82,$-0.71,0.0
2022-09-30,5.4,$-0.81,0.0
2022-06-30,4.86,$-0.78,0.0
2022-03-31,6.93,$-0.86,0.0
