Peraso PE Ratio Historical Data,Peraso PE Ratio Historical Data,Peraso PE Ratio Historical Data,Peraso PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.81,,0.0
2024-09-30,1.39,$-16.41,0.0
2024-06-30,1.4,$-16.23,0.0
2024-03-31,1.62,$-21.15,0.0
2023-12-31,11.18,$-26.08,0.0
2023-09-30,7.5,$-42.00,0.0
2023-06-30,19.8,$-49.20,0.0
2023-03-31,21.82,$-55.60,0.0
2022-12-31,29.2,$-63.20,0.0
2022-09-30,68.0,$-23.60,0.0
2022-06-30,76.8,$-23.60,0.0
2022-03-31,88.8,$-17.60,0.0
2021-12-31,168.0,$-15.20,0.0
2021-09-30,198.8,$-38.00,0.0
2021-06-30,250.8,$-38.00,0.0
2021-03-31,154.4,$-43.60,0.0
2020-12-31,97.6,$-56.80,0.0
2020-09-30,57.2,$-57.60,0.0
2020-06-30,73.2,$-82.80,0.0
2020-03-31,36.95,$-70.00,0.0
2019-12-31,70.6,$-45.60,0.0
2019-09-30,101.2,$-233.20,0.0
2019-06-30,140.0,$-472.00,0.0
2019-03-31,140.0,$-440.00,0.0
2018-12-31,133.04,$-408.00,0.0
2018-09-30,552.0,$-264.00,0.0
2018-06-30,1400.0,$-168.00,0.0
2018-03-31,952.0,$-680.00,0.0
2017-12-31,888.0,"$-1,240.00",0.0
2017-09-30,765.44,"$-2,928.00",0.0
2017-06-30,1368.0,"$-3,312.00",0.0
2017-03-31,1672.0,"$-3,552.00",0.0
2016-12-31,1840.8,"$-3,824.00",0.0
2016-09-30,6000.0,"$-2,880.00",0.0
2016-06-30,3240.0,"$-3,520.00",0.0
2016-03-31,5200.0,"$-3,680.00",0.0
2015-12-31,8720.0,"$-4,080.00",0.0
2015-09-30,11920.0,"$-4,720.00",0.0
2015-06-30,15200.0,"$-4,880.00",0.0
2015-03-31,16800.0,"$-5,120.00",0.0
2014-12-31,14960.0,"$-5,200.00",0.0
2014-09-30,19360.0,"$-4,800.00",0.0
2014-06-30,25120.0,"$-4,560.00",0.0
2014-03-31,36320.0,"$-4,640.00",0.0
2013-12-31,44160.0,"$-4,320.00",0.0
2013-09-30,29760.0,"$-4,800.00",0.0
2013-06-30,32160.0,"$-4,880.00",0.0
2013-03-31,37680.0,"$-5,040.00",0.0
2012-12-31,27840.0,"$-5,600.00",0.0
2012-09-30,32320.0,"$1,920.00",16.83
2012-06-30,25920.0,"$1,680.00",15.43
2012-03-31,31760.0,"$1,840.00",17.26
2011-12-31,33600.0,"$2,080.00",16.15
2011-09-30,29280.0,"$-5,280.00",0.0
2011-06-30,46000.0,"$-5,360.00",0.0
2011-03-31,48080.0,"$-5,520.00",0.0
2010-12-31,45520.0,"$-5,680.00",0.0
2010-09-30,39040.0,"$-5,600.00",0.0
2010-06-30,35360.0,"$-5,360.00",0.0
2010-03-31,32080.0,"$-5,360.00",0.0
2009-12-31,31520.0,"$-4,960.00",0.0
