Marqeta PE Ratio Historical Data,Marqeta PE Ratio Historical Data,Marqeta PE Ratio Historical Data,Marqeta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.52,,90.4
2024-12-31,3.79,$0.05,75.8
2024-09-30,4.92,$0.02,246.0
2024-06-30,5.48,$-0.02,0.0
2024-03-31,5.96,$-0.36,0.0
2023-12-31,6.98,$-0.42,0.0
2023-09-30,5.98,$-0.39,0.0
2023-06-30,4.87,$-0.39,0.0
2023-03-31,4.57,$-0.36,0.0
2022-12-31,6.11,$-0.34,0.0
2022-09-30,7.12,$-0.36,0.0
2022-06-30,8.11,$-0.34,0.0
2022-03-31,11.04,$-0.55,0.0
