LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,72.69,,17.56
2024-12-31,74.27,$4.14,17.94
2024-09-30,94.36,$6.57,14.36
2024-06-30,92.85,$7.11,13.06
2024-03-31,99.28,$6.47,15.34
2023-12-31,91.14,$6.47,14.09
2023-09-30,89.59,$6.98,12.84
2023-06-30,85.76,$6.44,13.32
2023-03-31,86.45,$9.24,9.36
2022-12-31,75.53,$11.80,6.4
2022-09-30,67.55,$12.91,5.23
2022-06-30,77.42,$16.41,4.72
2022-03-31,85.9,$17.56,4.89
2021-12-31,76.17,$16.74,4.55
2021-09-30,76.54,$17.11,4.47
2021-06-30,82.99,$12.19,6.81
2021-03-31,83.13,$7.00,11.88
2020-12-31,72.53,$4.24,17.1
2020-09-30,55.12,$3.52,15.66
2020-06-30,50.61,$6.04,8.38
2020-03-31,37.69,$7.80,4.83
2019-12-31,70.71,$9.57,7.39
2019-09-30,66.21,$9.53,6.95
2019-06-30,62.85,$9.53,6.6
2019-03-31,60.55,$11.05,5.48
2018-12-31,50.38,$11.97,4.21
2018-09-30,61.37,$14.97,4.1
2018-06-30,65.18,$14.79,4.41
2018-03-31,62.18,$13.38,4.65
2017-12-31,64.31,$12.25,5.25
2017-09-30,57.24,$9.33,6.14
2017-06-30,48.29,$8.96,5.39
2017-03-31,51.61,$8.71,5.92
2016-12-31,48.1,$9.10,5.29
2016-09-30,44.79,$9.01,4.97
2016-06-30,40.86,$9.27,4.41
2016-03-31,46.5,$9.53,4.88
2015-12-31,46.75,$9.57,4.89
2015-09-30,44.47,$9.33,4.77
2015-06-30,54.7,$9.22,5.93
2015-03-31,46.04,$8.63,5.33
2014-12-31,41.3,$7.94,5.2
2014-09-30,56.09,$8.51,6.59
2014-06-30,50.09,$7.56,6.63
2014-03-31,45.28,$6.94,6.52
2013-12-31,40.59,$6.77,6.0
2013-09-30,36.74,$5.75,6.39
2013-06-30,33.02,$5.71,5.78
2013-03-31,31.31,$5.43,5.77
2012-12-31,28.05,$4.92,5.7
2012-09-30,23.73,$3.45,6.88
2012-06-30,18.35,$3.50,5.24
2012-03-31,19.68,$3.55,5.54
2011-12-31,14.56,$3.66,3.98
2011-09-30,9.44,$5.58,1.69
2011-06-30,14.8,$4.91,3.01
2011-03-31,15.16,$3.53,4.3
