Warrior Met Coal PE Ratio Historical Data,Warrior Met Coal PE Ratio Historical Data,Warrior Met Coal PE Ratio Historical Data,Warrior Met Coal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.1,,9.83
2024-12-31,54.24,$4.79,11.32
2024-09-30,63.82,$7.24,8.82
2024-06-30,62.61,$8.08,7.75
2024-03-31,60.48,$8.31,7.28
2023-12-31,60.13,$9.20,6.54
2023-09-30,50.31,$8.66,5.81
2023-06-30,38.29,$8.92,4.29
2023-03-31,36.02,$13.08,2.75
2022-12-31,33.15,$12.40,2.67
2022-09-30,27.17,$13.15,2.07
2022-06-30,28.53,$11.99,2.38
2022-03-31,33.98,$6.16,5.52
2021-12-31,23.51,$2.91,8.08
2021-09-30,21.23,$-0.43,0.0
2021-06-30,15.65,$-1.45,0.0
2021-03-31,15.54,$-1.54,0.0
2020-12-31,19.29,$-0.70,0.0
2020-09-30,15.4,$0.37,41.63
2020-06-30,13.83,$1.52,9.1
2020-03-31,9.51,$4.13,2.3
2019-12-31,18.87,$5.85,3.22
2019-09-30,17.39,$12.55,1.39
2019-06-30,23.21,$12.68,1.83
2019-03-31,26.98,$11.97,2.25
2018-12-31,21.36,$13.19,1.62
2018-09-30,23.91,$7.91,3.02
2018-06-30,24.33,$9.18,2.65
2018-03-31,19.18,$9.92,1.93
