Geopark PE Ratio Historical Data,Geopark PE Ratio Historical Data,Geopark PE Ratio Historical Data,Geopark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.82,,3.97
2024-09-30,7.73,$1.97,3.93
2024-06-30,10.59,$1.93,5.49
2024-03-31,9.28,$2.04,4.55
2023-12-31,8.17,$1.95,4.19
2023-09-30,9.66,$2.38,4.06
2023-06-30,9.18,$3.18,2.89
2023-03-31,10.39,$3.71,2.8
2022-12-31,13.97,$3.77,3.71
2022-09-30,10.51,$3.47,3.03
2022-06-30,11.47,$2.83,4.05
2022-03-31,13.19,$1.67,7.9
2021-12-31,10.05,$0.99,10.16
2021-09-30,11.17,$-1.57,0.0
2021-06-30,11.03,$-2.24,0.0
2021-03-31,13.93,$-2.53,0.0
2020-12-31,11.29,$-3.84,0.0
2020-09-30,6.37,$-1.88,0.0
2020-06-30,8.48,$-1.70,0.0
2020-03-31,6.12,$-0.88,0.0
2019-12-31,18.93,$0.90,21.11
2019-09-30,15.73,$1.48,10.6
2019-06-30,15.84,$1.70,9.3
2019-03-31,14.78,$1.21,12.26
2018-12-31,11.81,$1.19,9.96
2018-09-30,17.43,$0.53,33.03
2018-06-30,17.64,$-0.13,0.0
2018-03-31,10.6,$-0.18,0.0
2017-12-31,8.47,$-0.41,0.0
2017-09-30,7.49,$-0.68,0.0
2017-06-30,6.45,$-0.65,0.0
2017-03-31,6.14,$-0.61,0.0
2016-12-31,3.68,$-0.81,0.0
2016-09-30,2.84,$-3.18,0.0
2016-06-30,2.78,$-3.51,0.0
2016-03-31,2.5,$-3.62,0.0
2015-12-31,2.31,$-4.03,0.0
2015-09-30,2.61,$-1.78,0.0
2015-06-30,4.03,$-1.02,0.0
2015-03-31,3.27,$-0.49,0.0
2014-12-31,4.38,$0.18,24.46
2014-09-30,8.37,$0.77,10.91
2014-06-30,7.82,$0.78,10.07
2014-03-31,6.04,$0.42,14.44
2013-12-31,8.58,$0.46,18.73
2013-09-30,7.53,$0.33,22.91
2013-06-30,7.78,$0.18,43.4
2013-03-31,8.34,$0.14,59.84
