Fidelis Insurance Holdings PE Ratio Historical Data,Fidelis Insurance Holdings PE Ratio Historical Data,Fidelis Insurance Holdings PE Ratio Historical Data,Fidelis Insurance Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.64,,16.64
2024-12-31,18.13,$0.94,19.29
2024-09-30,18.06,$3.96,4.56
2024-06-30,16.31,$3.82,4.27
2024-03-31,19.48,$4.12,4.73
