SMX (Security Matters) Public PE Ratio Historical Data,SMX (Security Matters) Public PE Ratio Historical Data,SMX (Security Matters) Public PE Ratio Historical Data,SMX (Security Matters) Public PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.53,,inf
2024-06-30,0.13,0.0,0.0
2022-12-31,10.19,0.0,0.0
2022-09-30,10.09,0.0,0.0
