ChoiceOne Financial Services PE Ratio Historical Data,ChoiceOne Financial Services PE Ratio Historical Data,ChoiceOne Financial Services PE Ratio Historical Data,ChoiceOne Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.95,,8.88
2024-12-31,35.64,$3.26,10.93
2024-09-30,30.68,$3.17,9.68
2024-06-30,28.18,$2.99,9.42
2024-03-31,26.62,$2.81,9.47
2023-12-31,28.23,$2.82,10.01
2023-09-30,18.75,$3.01,6.23
2023-06-30,21.71,$3.10,7.0
2023-03-31,23.57,$3.16,7.46
2022-12-31,26.81,$3.15,8.51
2022-09-30,19.88,$2.92,6.81
2022-06-30,18.22,$2.90,6.28
2022-03-31,22.39,$2.80,8.0
2021-12-31,23.43,$2.86,8.19
2021-09-30,21.68,$2.72,7.97
2021-06-30,21.0,$2.46,8.54
2021-03-31,20.67,$2.42,8.54
2020-12-31,26.29,$2.07,12.7
