ECB Bancorp PE Ratio Historical Data,ECB Bancorp PE Ratio Historical Data,ECB Bancorp PE Ratio Historical Data,ECB Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.14,,38.82
2024-09-30,14.32,$0.39,36.72
2024-06-30,12.48,$0.41,30.44
2024-03-31,12.98,$0.49,26.49
2023-12-31,12.56,$0.53,23.7
2023-09-30,10.98,$0.56,19.6
2023-06-30,13.08,$0.28,46.71
