WesBanco PE Ratio Historical Data,WesBanco PE Ratio Historical Data,WesBanco PE Ratio Historical Data,WesBanco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.76,,14.18
2024-12-31,32.54,$2.24,14.53
2024-09-30,29.48,$2.09,14.11
2024-06-30,27.31,$2.13,12.82
2024-03-31,28.78,$2.40,11.99
2023-12-31,29.92,$2.51,11.92
2023-09-30,23.0,$2.80,8.21
2023-06-30,23.78,$3.07,7.75
2023-03-31,28.16,$3.03,9.29
2022-12-31,33.56,$3.04,11.04
2022-09-30,30.01,$3.02,9.94
2022-06-30,28.24,$2.81,10.05
2022-03-31,30.28,$3.15,9.61
2021-12-31,30.53,$3.52,8.67
2021-09-30,29.45,$3.45,8.54
2021-06-30,30.47,$3.42,8.91
2021-03-31,30.57,$2.48,12.33
2020-12-31,25.17,$1.78,14.14
2020-09-30,17.76,$1.63,10.89
2020-06-30,16.64,$1.70,9.79
2020-03-31,19.12,$2.45,7.8
2019-12-31,30.05,$2.84,10.58
2019-09-30,29.46,$3.04,9.69
2019-06-30,30.12,$3.00,10.04
2019-03-31,30.79,$2.89,10.65
2018-12-31,28.2,$2.91,9.69
2018-09-30,34.02,$2.47,13.77
2018-06-30,34.16,$2.43,14.06
2018-03-31,31.89,$2.32,13.75
2017-12-31,30.44,$2.15,14.16
2017-09-30,30.53,$2.34,13.05
2017-06-30,29.22,$2.18,13.4
2017-03-31,27.96,$2.16,12.95
2016-12-31,31.39,$2.17,14.47
2016-09-30,23.83,$2.22,10.73
2016-06-30,22.34,$2.36,9.47
2016-03-31,21.22,$2.34,9.07
2015-12-31,21.26,$2.14,9.94
2015-09-30,22.11,$2.10,10.53
2015-06-30,23.74,$2.14,11.09
2015-03-31,22.58,$2.22,10.17
2014-12-31,23.95,$2.38,10.06
2014-09-30,20.91,$2.34,8.94
2014-06-30,21.07,$2.25,9.36
2014-03-31,21.45,$2.19,9.8
2013-12-31,21.42,$2.18,9.82
2013-09-30,19.77,$2.12,9.32
2013-06-30,17.45,$2.07,8.43
2013-03-31,15.69,$1.94,8.09
2012-12-31,14.45,$1.84,7.85
2012-09-30,13.35,$1.78,7.5
2012-06-30,13.59,$1.71,7.95
2012-03-31,12.76,$1.71,7.46
2011-12-31,12.23,$1.65,7.41
2011-09-30,10.79,$1.64,6.58
2011-06-30,12.15,$1.57,7.74
2011-03-31,12.69,$1.43,8.88
2010-12-31,11.54,$1.34,8.61
2010-09-30,9.87,$1.22,8.09
2010-06-30,10.08,$0.97,10.4
2010-03-31,9.65,$0.90,10.72
2009-12-31,7.26,$0.77,9.43
