Novogen PE Ratio Historical Data,Novogen PE Ratio Historical Data,Novogen PE Ratio Historical Data,Novogen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.98,,inf
2024-06-30,2.29,0.0,0.0
2023-12-31,4.4,0.0,0.0
2023-06-30,11.6,0.0,0.0
2022-12-31,6.15,0.0,0.0
2022-06-30,42.0,0.0,0.0
2021-12-31,84.2,0.0,0.0
2021-06-30,98.6,0.0,0.0
2020-12-31,86.4,0.0,0.0
2020-06-30,33.9,0.0,0.0
2019-12-31,43.4,0.0,0.0
2019-06-30,26.05,0.0,0.0
2018-06-30,29.6,0.0,0.0
2017-12-31,31.8,0.0,0.0
2017-06-30,36.0,0.0,0.0
2016-12-31,58.6,0.0,0.0
2016-06-30,74.8,0.0,0.0
2015-12-31,83.6,0.0,0.0
2015-06-30,160.8,0.0,0.0
2014-12-31,83.2,0.0,0.0
2014-06-30,147.2,0.0,0.0
2013-12-31,172.0,0.0,0.0
2013-06-30,177.6,0.0,0.0
2012-12-31,121.05,0.0,0.0
2012-06-30,34.84,0.0,0.0
2011-12-31,34.84,0.0,0.0
2011-06-30,79.25,0.0,0.0
2010-12-31,44.41,0.0,0.0
