Caravelle Group PE Ratio Historical Data,Caravelle Group PE Ratio Historical Data,Caravelle Group PE Ratio Historical Data,Caravelle Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.97,,inf
2024-04-30,0.86,0.0,0.0
2022-10-31,10.1,0.0,0.0
2022-09-30,10.05,0.0,0.0
2022-06-30,10.01,0.0,0.0
