Adaptimmune Therapeutics PE Ratio Historical Data,Adaptimmune Therapeutics PE Ratio Historical Data,Adaptimmune Therapeutics PE Ratio Historical Data,Adaptimmune Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.28,,0.0
2024-09-30,0.95,$-0.22,0.0
2024-06-30,0.97,$-0.35,0.0
2024-03-31,1.58,$-0.74,0.0
2023-12-31,0.79,$-0.55,0.0
2023-09-30,0.78,$-0.49,0.0
2023-06-30,0.93,$-0.53,0.0
2023-03-31,1.09,$-0.69,0.0
2022-12-31,1.46,$-1.02,0.0
2022-09-30,1.08,$-1.09,0.0
2022-06-30,1.7,$-1.12,0.0
2022-03-31,2.06,$-1.08,0.0
2021-12-31,3.75,$-1.00,0.0
2021-09-30,5.17,$-0.99,0.0
2021-06-30,4.26,$-0.95,0.0
2021-03-31,5.31,$-0.95,0.0
2020-12-31,5.39,$-0.95,0.0
2020-09-30,7.98,$-0.99,0.0
2020-06-30,10.01,$-1.13,0.0
2020-03-31,2.72,$-1.31,0.0
2019-12-31,1.2,$-1.31,0.0
2019-09-30,1.51,$-1.39,0.0
2019-06-30,4.02,$-0.97,0.0
2019-03-31,4.3,$-1.03,0.0
2018-12-31,5.75,$-1.03,0.0
2018-09-30,13.56,$-0.96,0.0
2018-06-30,11.87,$-1.01,0.0
2018-03-31,11.23,$-0.77,0.0
2017-12-31,6.68,$-0.83,0.0
2017-09-30,8.19,$-0.76,0.0
2017-06-30,4.49,$-1.00,0.0
2017-03-31,5.51,$-1.07,0.0
2016-12-31,4.05,$-0.81,0.0
2016-09-30,7.05,$-0.59,0.0
2016-06-30,8.15,$-0.37,0.0
2016-03-31,8.13,$-0.36,0.0
