Louisiana-Pacific PE Ratio Historical Data,Louisiana-Pacific PE Ratio Historical Data,Louisiana-Pacific PE Ratio Historical Data,Louisiana-Pacific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,93.4,,15.88
2024-12-31,103.55,$5.88,17.61
2024-09-30,107.21,$5.80,18.48
2024-06-30,81.91,$6.15,13.32
2024-03-31,83.25,$3.64,22.87
2023-12-31,70.01,$2.45,28.58
2023-09-30,54.4,$1.53,35.56
2023-06-30,73.53,$2.95,24.92
2023-03-31,52.96,$7.96,6.65
2022-12-31,57.59,$13.27,4.34
2022-09-30,49.6,$15.58,3.18
2022-06-30,50.59,$16.40,3.08
2022-03-31,59.77,$16.57,3.61
2021-12-31,75.15,$13.97,5.38
2021-09-30,58.7,$14.11,4.16
2021-06-30,57.48,$11.81,4.87
2021-03-31,52.75,$7.20,7.33
2020-12-31,35.23,$4.49,7.85
2020-09-30,27.84,$1.71,16.28
2020-06-30,24.09,$0.16,150.55
2020-03-31,16.01,$0.01,0.0
2019-12-31,27.54,$-0.08,0.0
2019-09-30,22.71,$0.48,47.31
2019-06-30,24.08,$1.32,18.24
2019-03-31,22.27,$2.29,9.72
2018-12-31,20.19,$2.71,7.45
2018-09-30,23.93,$3.48,6.88
2018-06-30,24.48,$3.37,7.27
2018-03-31,25.76,$2.91,8.85
2017-12-31,23.41,$2.67,8.77
2017-09-30,24.14,$2.07,11.66
2017-06-30,21.49,$1.77,12.14
2017-03-31,22.12,$1.34,16.51
2016-12-31,16.87,$1.03,16.38
2016-09-30,16.78,$0.69,24.33
2016-06-30,15.47,$0.05,309.31
2016-03-31,15.26,$-0.31,0.0
2015-12-31,16.05,$-0.62,0.0
2015-09-30,12.69,$-0.87,0.0
2015-06-30,15.18,$-0.82,0.0
2015-03-31,14.72,$-0.67,0.0
2014-12-31,14.76,$-0.53,0.0
2014-09-30,12.11,$-0.38,0.0
2014-06-30,13.39,$0.02,669.43
2014-03-31,15.04,$0.66,22.78
2013-12-31,16.5,$1.21,13.64
2013-09-30,15.68,$1.68,9.33
2013-06-30,13.18,$1.64,8.04
2013-03-31,19.25,$0.72,26.74
2012-12-31,17.22,$0.19,90.64
2012-09-30,11.14,$-0.47,0.0
2012-06-30,9.7,$-1.18,0.0
2012-03-31,8.33,$-1.18,0.0
2011-12-31,7.19,$-1.28,0.0
2011-09-30,4.55,$-0.99,0.0
2011-06-30,7.26,$-0.74,0.0
2011-03-31,9.36,$-0.31,0.0
2010-12-31,8.43,$-0.31,0.0
2010-09-30,6.75,$-0.66,0.0
2010-06-30,5.96,$-0.55,0.0
2010-03-31,8.07,$-0.99,0.0
2009-12-31,6.22,$-1.11,0.0
