Sonic Automotive PE Ratio Historical Data,Sonic Automotive PE Ratio Historical Data,Sonic Automotive PE Ratio Historical Data,Sonic Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.65,,9.81
2024-12-31,63.35,$6.18,10.25
2024-09-30,58.17,$5.62,10.35
2024-06-30,53.9,$5.41,9.96
2024-03-31,56.04,$4.88,11.48
2023-12-31,55.0,$4.97,11.07
2023-09-30,46.48,$-1.36,0.0
2023-06-30,46.15,$-1.05,0.0
2023-03-31,52.27,$0.64,81.67
2022-12-31,47.14,$1.68,28.06
2022-09-30,41.2,$9.15,4.5
2022-06-30,34.67,$8.87,3.91
2022-03-31,39.98,$9.16,4.36
2021-12-31,46.25,$8.08,5.72
2021-09-30,49.02,$7.13,6.88
2021-06-30,41.64,$6.52,6.39
2021-03-31,46.02,$4.60,10.0
2020-12-31,35.74,$-1.33,0.0
2020-09-30,37.12,$-1.59,0.0
2020-06-30,29.42,$-2.27,0.0
2020-03-31,12.2,$-2.37,0.0
2019-12-31,28.32,$3.29,8.61
2019-09-30,28.61,$2.76,10.37
2019-06-30,21.2,$2.45,8.65
2019-03-31,13.39,$2.23,6.0
2018-12-31,12.35,$1.20,10.29
2018-09-30,17.3,$2.11,8.2
2018-06-30,18.36,$2.20,8.35
2018-03-31,16.84,$2.08,8.1
2017-12-31,16.35,$2.12,7.71
2017-09-30,18.03,$1.53,11.79
2017-06-30,17.15,$1.49,11.51
2017-03-31,17.63,$1.72,10.25
2016-12-31,20.09,$2.04,9.85
2016-09-30,16.46,$1.83,8.99
2016-06-30,14.93,$1.95,7.66
2016-03-31,16.08,$1.74,9.24
2015-12-31,19.76,$1.70,11.62
2015-09-30,17.7,$1.58,11.2
2015-06-30,20.63,$1.53,13.48
2015-03-31,21.53,$1.75,12.3
2014-12-31,23.36,$1.84,12.69
2014-09-30,21.15,$1.87,11.31
2014-06-30,23.0,$1.84,12.5
2014-03-31,19.36,$1.50,12.91
2013-12-31,21.06,$1.54,13.68
2013-09-30,20.45,$1.56,13.11
2013-06-30,18.14,$1.30,13.96
2013-03-31,18.99,$1.57,12.1
2012-12-31,17.88,$1.52,11.76
2012-09-30,16.22,$1.32,12.29
2012-06-30,11.67,$1.47,7.94
2012-03-31,15.25,$1.38,11.05
2011-12-31,12.59,$1.29,9.76
2011-09-30,9.15,$1.94,4.72
2011-06-30,12.4,$1.84,6.74
2011-03-31,11.83,$1.65,7.17
2010-12-31,11.15,$1.47,7.59
2010-09-30,8.26,$0.72,11.48
2010-06-30,7.19,$0.66,10.9
2010-03-31,9.25,$0.50,18.49
2009-12-31,8.73,$0.46,18.98
