American PE Ratio Historical Data,American PE Ratio Historical Data,American PE Ratio Historical Data,American PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,83.71,,0.0
2024-12-31,72.8,$-2.08,0.0
2024-09-30,72.83,$-3.39,0.0
2024-06-30,73.43,$-1.29,0.0
2024-03-31,76.9,$6.70,11.48
2023-12-31,66.33,$4.99,13.29
2023-09-30,59.01,$5.22,11.31
2023-06-30,55.71,$5.91,9.43
2023-03-31,48.45,$7.66,6.32
2022-12-31,60.45,$12.78,4.73
2022-09-30,45.16,$16.81,2.69
2022-06-30,48.34,$15.23,3.17
2022-03-31,58.98,$11.56,5.1
2021-12-31,53.15,$10.82,4.91
2021-09-30,51.01,$6.37,8.01
2021-06-30,43.97,$4.77,9.22
2021-03-31,42.42,$-4.49,0.0
2020-12-31,34.53,$-6.92,0.0
2020-09-30,24.9,$-5.82,0.0
2020-06-30,27.9,$-5.42,0.0
2020-03-31,21.49,$4.97,4.32
2019-12-31,44.99,$3.74,12.03
2019-09-30,48.51,$2.01,24.14
2019-06-30,46.14,$-0.12,0.0
2019-03-31,37.07,$-0.34,0.0
2018-12-31,33.68,$-0.08,0.0
2018-09-30,45.11,$-6.71,0.0
2018-06-30,44.65,$-7.21,0.0
2018-03-31,45.56,$-7.04,0.0
2017-12-31,49.59,$-6.87,0.0
2017-09-30,50.83,$-2.51,0.0
2017-06-30,51.49,$-0.18,0.0
2017-03-31,51.16,$0.31,165.02
2016-12-31,53.25,$-1.03,0.0
2016-09-30,48.14,$0.44,109.41
2016-06-30,42.67,$-0.16,0.0
2016-03-31,43.36,$-0.52,0.0
2015-12-31,49.41,$1.42,34.8
2015-09-30,45.1,$3.38,13.34
2015-06-30,48.83,$5.08,9.61
2015-03-31,43.19,$5.86,7.37
2014-12-31,44.05,$5.17,8.52
2014-09-30,42.39,$6.05,7.01
2014-06-30,42.73,$5.99,7.13
2014-03-31,39.07,$5.73,6.82
2013-12-31,39.78,$6.13,6.49
2013-09-30,37.82,$2.11,17.92
2013-06-30,34.69,$1.78,19.49
2013-03-31,30.13,$1.27,23.72
2012-12-31,27.4,$1.49,18.39
2012-09-30,25.45,$14.60,1.74
2012-06-30,24.9,$11.31,2.2
2012-03-31,23.93,$10.98,2.18
2011-12-31,18.01,$8.92,2.02
2011-09-30,17.04,$15.09,1.13
2011-06-30,22.76,$-0.37,0.0
2011-03-31,27.27,$-5.33,0.0
2010-12-31,37.53,$-2.82,0.0
2010-09-30,25.47,$-84.93,0.0
2010-06-30,22.43,$-66.63,0.0
2010-03-31,22.23,$-60.37,0.0
2009-12-31,19.53,$-102.13,0.0
