"Perimeter Solutions, SA PE Ratio Historical Data","Perimeter Solutions, SA PE Ratio Historical Data","Perimeter Solutions, SA PE Ratio Historical Data","Perimeter Solutions, SA PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.3,,0.0
2024-12-31,12.78,$-0.14,0.0
2024-09-30,13.45,$-1.13,0.0
2024-06-30,7.83,$-0.40,0.0
2024-03-31,7.42,$-0.23,0.0
2023-12-31,4.6,$0.40,11.5
2023-09-30,4.54,$0.11,41.27
2023-06-30,6.15,$0.44,13.98
2023-03-31,8.08,$0.17,47.53
2022-12-31,9.14,$0.33,27.7
2022-09-30,8.01,$0.71,11.28
