Ashford Hospitality Trust Inc PE Ratio Historical Data,Ashford Hospitality Trust Inc PE Ratio Historical Data,Ashford Hospitality Trust Inc PE Ratio Historical Data,Ashford Hospitality Trust Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.3,,0.0
2024-09-30,7.48,$-12.89,0.0
2024-06-30,9.72,$-20.40,0.0
2024-03-31,13.7,$-31.70,0.0
2023-12-31,19.4,$-56.50,0.0
2023-09-30,23.9,$-65.00,0.0
2023-06-30,37.3,$-52.40,0.0
2023-03-31,32.1,$-46.30,0.0
2022-12-31,44.7,$-44.60,0.0
2022-09-30,68.1,$-44.60,0.0
2022-06-30,59.8,$-54.30,0.0
2022-03-31,102.0,$-95.10,0.0
2021-12-31,96.0,$-188.00,0.0
2021-09-30,147.2,$-399.50,0.0
2021-06-30,456.0,"$-1,308.50",0.0
2021-03-31,295.0,"$-3,350.00",0.0
2020-12-31,259.0,"$-4,180.00",0.0
2020-09-30,165.0,"$-4,341.00",0.0
2020-06-30,722.6,"$-3,835.00",0.0
2020-03-31,739.2,"$-2,020.00",0.0
2019-12-31,2790.0,"$-1,570.00",0.0
2019-09-30,3198.89,"$-1,840.00",0.0
2019-06-30,2821.38,"$-1,820.00",0.0
2019-03-31,4421.46,"$-1,850.00",0.0
2018-12-31,3635.38,"$-1,750.00",0.0
2018-09-30,5635.02,"$-1,590.00",0.0
2018-06-30,7009.05,"$-1,590.00",0.0
2018-03-31,5506.29,"$-1,300.00",0.0
2017-12-31,5631.66,"$-1,260.00",0.0
2017-09-30,5484.94,"$-1,370.00",0.0
2017-06-30,4911.92,"$-1,340.00",0.0
2017-03-31,5049.11,"$-1,100.00",0.0
2016-12-31,6036.26,$-950.00,0.0
2016-09-30,4510.52,$-660.00,0.0
2016-06-30,4032.07,$-550.00,0.0
2016-03-31,4679.24,$-990.00,0.0
2015-12-31,4535.65,"$2,330.00",1.95
2015-09-30,4305.93,"$2,400.00",1.79
2015-06-30,5859.51,"$2,420.00",2.42
2015-03-31,6569.76,"$2,520.00",2.61
2014-12-31,7068.99,$-730.00,0.0
2014-09-30,6438.55,$-800.00,0.0
2014-06-30,7188.22,$-870.00,0.0
2014-03-31,6945.23,$-780.00,0.0
2013-12-31,5047.9,$-990.00,0.0
2013-09-30,4939.93,$-990.00,0.0
2013-06-30,4554.39,"$-1,030.00",0.0
2013-03-31,4881.73,"$-1,210.00",0.0
2012-12-31,4124.12,"$-1,310.00",0.0
2012-09-30,3274.07,"$-1,270.00",0.0
2012-06-30,3258.06,"$-1,350.00",0.0
2012-03-31,3452.78,"$-1,640.00",0.0
2011-12-31,3042.58,$-740.00,0.0
2011-09-30,2646.73,"$-2,630.00",0.0
2011-06-30,4649.59,"$-1,470.00",0.0
2011-03-31,4093.51,$-920.00,0.0
2010-12-31,3550.89,"$-1,370.00",0.0
2010-09-30,3330.11,$-500.00,0.0
2010-06-30,2697.2,"$-1,750.00",0.0
2010-03-31,2638.33,"$-4,150.00",0.0
2009-12-31,1707.37,"$-4,080.00",0.0
