J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,147.5,,26.53
2024-12-31,170.66,$5.56,30.69
2024-09-30,171.95,$5.50,31.26
2024-06-30,159.22,$5.81,27.41
2024-03-31,197.78,$6.30,31.39
2023-12-31,197.87,$6.97,28.39
2023-09-30,186.3,$7.42,25.11
2023-06-30,178.54,$8.19,21.8
2023-03-31,172.63,$8.80,19.62
2022-12-31,171.18,$9.20,18.61
2022-09-30,153.2,$9.56,16.03
2022-06-30,153.89,$8.87,17.35
2022-03-31,195.77,$8.06,24.29
2021-12-31,198.88,$7.14,27.85
2021-09-30,162.46,$6.30,25.79
2021-06-30,158.02,$5.60,28.22
2021-03-31,162.71,$5.13,31.72
2020-12-31,132.03,$4.74,27.85
2020-09-30,121.85,$4.65,26.2
2020-06-30,115.79,$4.87,23.78
2020-03-31,88.5,$4.96,17.84
2019-12-31,111.79,$5.07,22.05
2019-09-30,105.7,$4.53,23.33
2019-06-30,87.09,$4.32,20.16
2019-03-31,96.24,$4.46,21.58
2018-12-31,88.19,$4.44,19.86
2018-09-30,112.5,$7.11,15.82
2018-06-30,114.74,$6.83,16.8
2018-03-31,110.36,$6.34,17.41
2017-12-31,108.09,$6.19,17.46
2017-09-30,104.2,$3.76,27.71
2017-06-30,85.5,$3.82,22.38
2017-03-31,85.62,$3.86,22.18
2016-12-31,90.38,$3.82,23.66
2016-09-30,75.34,$3.78,19.93
2016-06-30,74.95,$3.80,19.72
2016-03-31,77.81,$3.76,20.69
2015-12-31,67.55,$3.66,18.46
2015-09-30,65.57,$3.58,18.31
2015-06-30,75.19,$3.46,21.73
2015-03-31,78.03,$3.37,23.16
2014-12-31,76.79,$3.17,24.22
2014-09-30,67.33,$3.01,22.37
2014-06-30,66.91,$2.89,23.15
2014-03-31,65.05,$2.83,22.99
2013-12-31,69.73,$2.86,24.38
2013-09-30,65.65,$2.79,23.53
2013-06-30,64.9,$2.69,24.13
2013-03-31,66.78,$2.63,25.39
2012-12-31,53.53,$2.59,20.67
2012-09-30,46.43,$2.50,18.57
2012-06-30,53.03,$2.42,21.91
2012-03-31,48.26,$2.28,21.16
2011-12-31,39.9,$2.11,18.91
2011-09-30,31.88,$1.96,16.26
2011-06-30,41.44,$1.80,23.02
2011-03-31,39.86,$1.67,23.87
2010-12-31,35.7,$1.56,22.89
2010-09-30,30.26,$1.42,21.31
2010-06-30,28.39,$1.32,21.51
2010-03-31,31.08,$1.11,28.0
2009-12-31,27.84,$1.06,26.27
