Chimerix PE Ratio Historical Data,Chimerix PE Ratio Historical Data,Chimerix PE Ratio Historical Data,Chimerix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.47,,0.0
2024-09-30,0.93,$-0.94,0.0
2024-06-30,0.88,$-0.95,0.0
2024-03-31,1.06,$-0.93,0.0
2023-12-31,0.96,$-0.92,0.0
2023-09-30,0.96,$-0.96,0.0
2023-06-30,1.21,$2.06,0.59
2023-03-31,1.26,$2.00,0.63
2022-12-31,1.86,$1.96,0.95
2022-09-30,1.93,$1.75,1.1
2022-06-30,2.08,$-1.21,0.0
2022-03-31,4.58,$-1.15,0.0
2021-12-31,6.43,$-2.08,0.0
2021-09-30,6.19,$-1.82,0.0
2021-06-30,8.0,$-1.79,0.0
2021-03-31,9.64,$-1.74,0.0
2020-12-31,4.83,$-0.70,0.0
2020-09-30,2.49,$-0.57,0.0
2020-06-30,3.1,$-1.65,0.0
2020-03-31,1.44,$-1.84,0.0
2019-12-31,2.03,$-2.02,0.0
2019-09-30,2.35,$-2.25,0.0
2019-06-30,4.32,$-1.32,0.0
2019-03-31,2.1,$-1.36,0.0
2018-12-31,2.57,$-1.43,0.0
2018-09-30,3.89,$-1.55,0.0
2018-06-30,4.76,$-1.59,0.0
2018-03-31,5.2,$-1.56,0.0
2017-12-31,4.63,$-1.52,0.0
2017-09-30,5.25,$-1.43,0.0
2017-06-30,5.45,$-1.43,0.0
2017-03-31,6.38,$-1.46,0.0
2016-12-31,4.6,$-1.65,0.0
2016-09-30,5.54,$-2.15,0.0
2016-06-30,3.93,$-2.48,0.0
2016-03-31,5.11,$-2.68,0.0
2015-12-31,8.95,$-2.65,0.0
2015-09-30,38.2,$-2.35,0.0
2015-06-30,46.2,$-2.12,0.0
2015-03-31,37.69,$-1.92,0.0
2014-12-31,40.26,$-1.77,0.0
2014-09-30,27.62,$-1.56,0.0
2014-06-30,21.94,$-1.35,0.0
2014-03-31,22.84,$-1.87,0.0
