Journey Medical PE Ratio Historical Data,Journey Medical PE Ratio Historical Data,Journey Medical PE Ratio Historical Data,Journey Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.57,,0.0
2024-09-30,5.65,$-0.94,0.0
2024-06-30,5.64,$-0.02,0.0
2024-03-31,3.68,$-0.31,0.0
2023-12-31,5.76,$-0.35,0.0
2023-09-30,2.74,$-0.83,0.0
2023-06-30,1.59,$-2.20,0.0
2023-03-31,1.57,$-2.17,0.0
2022-12-31,1.92,$-1.68,0.0
2022-09-30,2.46,$-2.72,0.0
