Douglas Dynamics PE Ratio Historical Data,Douglas Dynamics PE Ratio Historical Data,Douglas Dynamics PE Ratio Historical Data,Douglas Dynamics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.03,,10.27
2024-12-31,23.63,$2.34,10.1
2024-09-30,27.26,$2.30,11.85
2024-06-30,22.88,$1.18,19.39
2024-03-31,23.29,$1.17,19.9
2023-12-31,28.29,$0.96,29.47
2023-09-30,28.49,$1.16,24.56
2023-06-30,27.94,$1.48,18.88
2023-03-31,29.53,$1.22,24.21
2022-12-31,33.18,$1.62,20.48
2022-09-30,25.5,$1.51,16.88
2022-06-30,25.9,$1.25,20.72
2022-03-31,30.85,$1.10,28.04
2021-12-31,34.54,$1.31,26.37
2021-09-30,31.85,$1.71,18.63
2021-06-30,35.43,$1.80,19.69
2021-03-31,39.91,$-3.35,0.0
2020-12-31,36.77,$-3.82,0.0
2020-09-30,29.21,$-4.10,0.0
2020-06-30,29.77,$-3.96,0.0
2020-03-31,29.87,$1.69,17.67
2019-12-31,45.78,$2.12,21.6
2019-09-30,36.92,$2.25,16.41
2019-06-30,32.75,$2.15,15.23
2019-03-31,31.12,$1.96,15.88
2018-12-31,29.13,$1.89,15.41
2018-09-30,35.36,$2.76,12.81
2018-06-30,38.44,$2.73,14.08
2018-03-31,34.52,$2.46,14.03
2017-12-31,29.93,$2.40,12.47
2017-09-30,31.0,$1.34,23.13
2017-06-30,25.72,$1.26,20.41
2017-03-31,23.77,$1.33,17.88
2016-12-31,25.89,$1.70,15.23
2016-09-30,24.41,$1.92,12.71
2016-06-30,19.51,$2.28,8.56
2016-03-31,17.2,$2.14,8.04
2015-12-31,15.66,$1.92,8.15
2015-09-30,14.61,$1.84,7.94
2015-06-30,15.63,$1.63,9.59
2015-03-31,16.45,$1.70,9.68
2014-12-31,15.29,$1.76,8.69
2014-09-30,13.77,$1.56,8.83
2014-06-30,12.31,$1.12,10.99
2014-03-31,12.02,$0.74,16.24
2013-12-31,11.46,$0.52,22.04
2013-09-30,9.91,$0.09,110.16
2013-06-30,8.62,$0.16,53.85
2013-03-31,9.03,$0.30,30.11
2012-12-31,9.27,$0.26,35.65
2012-09-30,9.38,$0.59,15.91
2012-06-30,8.92,$0.67,13.31
2012-03-31,8.47,$0.71,11.93
2011-12-31,8.86,$0.86,10.3
2011-09-30,7.64,$0.81,9.43
2011-06-30,9.3,$0.73,12.74
2011-03-31,8.29,$0.29,28.57
