Universal Electronics PE Ratio Historical Data,Universal Electronics PE Ratio Historical Data,Universal Electronics PE Ratio Historical Data,Universal Electronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.6,,0.0
2024-12-31,11.0,$-1.85,0.0
2024-09-30,9.23,$-2.05,0.0
2024-06-30,11.62,$-3.35,0.0
2024-03-31,10.01,$-3.53,0.0
2023-12-31,9.39,$-7.67,0.0
2023-09-30,9.05,$-7.66,0.0
2023-06-30,9.62,$-5.59,0.0
2023-03-31,10.14,$-4.55,0.0
2022-12-31,20.81,$0.03,693.67
2022-09-30,19.67,$0.08,245.88
2022-06-30,25.57,$-0.56,0.0
2022-03-31,31.24,$-0.39,0.0
2021-12-31,40.75,$0.33,123.48
2021-09-30,49.25,$1.68,29.32
2021-06-30,48.5,$2.18,22.25
2021-03-31,54.97,$2.80,19.63
2020-12-31,52.46,$2.72,19.29
2020-09-30,37.74,$2.35,16.06
2020-06-30,46.82,$2.11,22.19
2020-03-31,38.37,$0.72,53.29
2019-12-31,52.26,$0.24,217.75
2019-09-30,50.9,$-1.05,0.0
2019-06-30,41.02,$-1.17,0.0
2019-03-31,37.15,$0.80,46.44
2018-12-31,25.28,$0.83,30.46
2018-09-30,39.35,$0.44,89.43
2018-06-30,33.05,$0.49,67.45
2018-03-31,52.05,$-0.79,0.0
2017-12-31,47.25,$-0.74,0.0
2017-09-30,63.4,$0.67,94.63
2017-06-30,66.85,$1.08,61.9
2017-03-31,68.5,$1.21,56.61
2016-12-31,64.55,$1.39,46.44
2016-09-30,74.46,$1.81,41.14
2016-06-30,72.28,$1.69,42.77
2016-03-31,61.99,$1.76,35.22
2015-12-31,51.35,$1.89,27.17
2015-09-30,42.03,$1.80,23.35
2015-06-30,49.84,$2.07,24.08
2015-03-31,56.44,$2.08,27.13
2014-12-31,65.03,$2.02,32.19
2014-09-30,49.37,$1.82,27.13
2014-06-30,48.88,$1.69,28.92
2014-03-31,38.39,$1.54,24.93
2013-12-31,38.11,$1.47,25.93
2013-09-30,36.03,$1.31,27.5
2013-06-30,28.13,$1.21,23.25
2013-03-31,23.25,$1.17,19.87
2012-12-31,19.35,$1.09,17.75
2012-09-30,17.58,$1.23,14.29
2012-06-30,13.17,$1.25,10.54
2012-03-31,19.98,$1.31,15.25
2011-12-31,16.87,$1.32,12.78
2011-09-30,16.39,$1.25,13.11
2011-06-30,25.26,$1.12,22.55
2011-03-31,29.56,$1.06,27.89
2010-12-31,28.37,$1.07,26.51
2010-09-30,20.85,$1.23,16.95
2010-06-30,16.63,$1.19,13.97
2010-03-31,22.34,$1.12,19.95
2009-12-31,23.22,$1.05,22.11
