First Community PE Ratio Historical Data,First Community PE Ratio Historical Data,First Community PE Ratio Historical Data,First Community PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.36,,17.75
2024-12-31,24.0,$1.26,19.05
2024-09-30,21.31,$1.69,12.61
2024-06-30,17.03,$1.42,11.99
2024-03-31,17.07,$1.43,11.93
2023-12-31,20.92,$1.54,13.58
2023-09-30,16.64,$1.64,10.15
2023-06-30,16.61,$1.93,8.61
2023-03-31,19.01,$1.91,9.95
2022-12-31,20.66,$1.92,10.76
2022-09-30,16.41,$1.91,8.59
2022-06-30,17.84,$2.02,8.83
2022-03-31,19.6,$2.08,9.42
2021-12-31,19.18,$2.05,9.36
2021-09-30,18.09,$1.99,9.09
2021-06-30,18.35,$1.71,10.73
2021-03-31,18.0,$1.54,11.69
2020-12-31,15.23,$1.35,11.28
2020-09-30,12.12,$1.25,9.69
2020-06-30,13.35,$1.29,10.35
2020-03-31,13.74,$1.36,10.1
2019-12-31,18.78,$1.44,13.04
2019-09-30,16.83,$1.43,11.77
2019-06-30,15.9,$1.41,11.28
2019-03-31,16.29,$1.43,11.39
2018-12-31,16.5,$1.46,11.3
2018-09-30,20.46,$1.18,17.34
2018-06-30,21.14,$1.09,19.39
2018-03-31,19.2,$0.94,20.43
2017-12-31,18.86,$0.85,22.19
2017-09-30,17.0,$1.04,16.35
2017-06-30,17.38,$1.01,17.21
2017-03-31,18.13,$1.03,17.6
2016-12-31,14.81,$0.99,14.96
2016-09-30,12.86,$0.97,13.25
2016-06-30,11.36,$0.97,11.71
2016-03-31,11.65,$0.93,12.52
2015-12-31,11.98,$0.92,13.02
2015-09-30,9.89,$0.90,10.99
2015-06-30,9.68,$0.88,11.0
2015-03-31,9.21,$0.84,10.96
2014-12-31,8.87,$0.77,11.52
2014-09-30,8.3,$0.71,11.69
2014-06-30,8.26,$0.68,12.15
2014-03-31,8.63,$0.73,11.82
2013-12-31,7.98,$0.79,10.1
2013-09-30,7.96,$0.82,9.7
2013-06-30,6.98,$0.81,8.62
2013-03-31,6.76,$0.81,8.34
2012-12-31,6.29,$0.80,7.87
2012-09-30,6.3,$0.88,7.15
2012-06-30,5.94,$0.93,6.39
2012-03-31,5.72,$0.87,6.57
2011-12-31,4.55,$0.80,5.69
2011-09-30,4.26,$0.60,7.1
2011-06-30,5.04,$0.43,11.72
2011-03-31,4.86,$0.36,13.51
2010-12-31,4.15,$0.37,11.22
2010-09-30,3.71,$0.52,7.13
2010-06-30,4.1,$-7.90,0.0
2010-03-31,4.36,$-7.92,0.0
2009-12-31,4.4,$-7.82,0.0
