Fundamental Global PE Ratio Historical Data,Fundamental Global PE Ratio Historical Data,Fundamental Global PE Ratio Historical Data,Fundamental Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.5,,14.12
2024-09-30,26.25,$1.31,20.04
2024-06-30,23.69,$-1.25,0.0
2024-03-31,34.5,$-4.50,0.0
2023-12-31,40.0,$4.75,8.42
2023-09-30,35.0,$5.50,6.36
2023-06-30,46.25,$19.25,2.4
2023-03-31,65.5,$6.25,10.48
2022-12-31,71.25,$-12.75,0.0
2022-09-30,40.5,$-28.50,0.0
2022-06-30,36.5,$-81.75,0.0
2022-03-31,68.01,$-63.25,0.0
2021-12-31,94.0,$-48.25,0.0
2021-09-30,121.75,$-31.75,0.0
2021-06-30,234.75,$-47.00,0.0
2021-03-31,116.25,$-55.75,0.0
2020-12-31,105.5,$-90.00,0.0
2020-09-30,96.25,$-90.00,0.0
2020-06-30,111.5,$-64.00,0.0
2020-03-31,122.0,$-72.25,0.0
2019-12-31,138.0,$-37.50,0.0
2019-09-30,110.25,$-35.50,0.0
2019-06-30,123.75,$-29.50,0.0
2019-03-31,131.5,$-10.25,0.0
2018-12-31,100.5,$-1.25,0.0
2018-09-30,167.5,$2.50,67.0
2018-06-30,177.5,$3.25,54.62
2018-03-31,178.75,$8.00,22.34
2017-12-31,181.25,$1.00,181.25
2017-09-30,192.45,$2.00,96.22
2017-06-30,199.38,$4.00,49.84
2017-03-31,202.5,$5.75,35.22
2016-12-31,195.0,$0.25,780.0
2016-09-30,156.1,$-4.25,0.0
2016-06-30,159.75,$2.75,58.09
2016-03-31,148.5,$-3.25,0.0
2015-12-31,191.25,$-6.75,0.0
2015-09-30,182.5,$-6.25,0.0
2015-06-30,203.75,$-3.25,0.0
2015-03-31,189.75,$1.00,189.75
