Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data,Intuit PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,600.42,,56.01
2025-01-31,601.51,$10.72,56.11
2024-10-31,610.3,$10.30,59.25
2024-07-31,646.26,$10.45,61.84
2024-04-30,623.68,$10.84,57.54
2024-01-31,628.5,$9.80,64.13
2023-10-31,492.0,$9.15,53.77
2023-07-31,507.76,$8.44,60.16
2023-04-30,439.77,$7.92,55.53
2023-01-31,417.96,$6.82,61.28
2022-10-31,421.9,$6.57,64.22
2022-07-31,449.35,$7.25,61.98
2022-04-30,411.8,$8.82,46.69
2022-01-31,545.24,$7.84,69.55
2021-10-31,614.0,$7.56,81.22
2021-07-31,519.16,$7.49,69.31
2021-04-30,403.28,$7.80,51.7
2021-01-31,352.95,$6.61,53.4
2020-10-31,306.98,$7.45,41.21
2020-07-31,298.35,$6.92,43.11
2020-04-30,262.3,$5.07,51.73
2020-01-31,272.0,$6.18,44.01
2019-10-31,249.32,$5.99,41.62
2019-07-31,267.97,$5.90,45.42
2019-04-30,242.18,$6.25,38.75
2019-01-31,207.81,$5.62,36.98
2018-10-31,202.7,$4.82,42.05
2018-07-31,195.79,$4.62,42.38
2018-04-30,176.81,$4.53,39.03
2018-01-31,160.28,$3.64,44.03
2017-10-31,143.83,$3.77,38.15
2017-07-31,130.32,$3.72,35.03
2017-04-30,118.62,$3.47,34.18
2017-01-31,112.01,$3.71,30.19
2016-10-31,102.42,$3.75,27.31
2016-07-31,104.21,$3.76,27.72
2016-04-30,94.48,$3.97,23.8
2016-01-31,89.19,$1.81,49.27
2015-10-31,90.69,$1.49,60.87
2015-07-31,98.13,$1.31,74.91
2015-04-30,92.86,$1.12,82.91
2015-01-31,80.15,$2.73,29.36
2014-10-31,81.02,$2.83,28.63
2014-07-31,75.24,$3.08,24.43
2014-04-30,69.36,$3.17,21.88
2014-01-31,66.9,$2.49,26.87
2013-10-31,65.06,$2.85,22.83
2013-07-31,58.07,$2.83,20.52
2013-04-30,54.03,$2.89,18.7
2013-01-31,56.37,$2.60,21.68
2012-10-31,53.55,$2.76,19.4
2012-07-31,52.14,$2.61,19.98
2012-04-30,51.96,$2.41,21.56
2012-01-31,50.46,$2.19,23.04
2011-10-31,47.85,$2.03,23.57
2011-07-31,41.5,$2.02,20.55
2011-04-30,49.38,$2.06,23.97
2011-01-31,41.71,$1.64,25.43
2010-10-31,42.64,$1.76,24.23
2010-07-31,35.33,$1.77,19.96
2010-04-30,32.16,$1.70,18.92
2010-01-31,26.32,$1.39,18.93
2009-10-31,25.84,$1.30,19.87
