Powell Industries PE Ratio Historical Data,Powell Industries PE Ratio Historical Data,Powell Industries PE Ratio Historical Data,Powell Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,181.36,,13.77
2024-12-31,221.65,$13.17,16.83
2024-09-30,221.77,$12.29,18.04
2024-06-30,143.01,$10.69,13.38
2024-03-31,141.68,$8.42,16.83
2023-12-31,87.86,$6.37,13.79
2023-09-30,82.14,$4.49,18.29
2023-06-30,59.85,$3.05,19.62
2023-03-31,41.87,$2.29,18.28
2022-12-31,34.37,$1.49,23.07
2022-09-30,20.39,$1.15,17.73
2022-06-30,22.39,$0.70,31.98
2022-03-31,18.42,$-0.23,0.0
2021-12-31,27.66,$-0.15,0.0
2021-09-30,22.83,$0.06,380.5
2021-06-30,28.47,$0.03,948.94
2021-03-31,30.93,$0.50,61.85
2020-12-31,26.69,$1.16,23.0
2020-09-30,21.62,$1.43,15.12
2020-06-30,24.31,$1.74,13.97
2020-03-31,22.56,$1.88,12.0
2019-12-31,42.74,$1.32,32.38
2019-09-30,33.93,$0.85,39.92
2019-06-30,32.7,$0.42,77.87
2019-03-31,22.69,$0.01,0.0
2018-12-31,21.21,$-0.36,0.0
2018-09-30,30.49,$-0.62,0.0
2018-06-30,29.1,$-1.20,0.0
2018-03-31,22.26,$-1.51,0.0
2017-12-31,23.54,$-1.29,0.0
2017-09-30,24.41,$-0.83,0.0
2017-06-30,25.8,$0.10,257.96
2017-03-31,27.56,$0.81,34.03
2016-12-31,30.98,$1.37,22.61
2016-09-30,31.62,$1.36,23.25
2016-06-30,30.85,$1.42,21.73
2016-03-31,23.2,$1.59,14.59
2015-12-31,20.06,$0.79,25.39
2015-09-30,23.01,$0.81,28.41
2015-06-30,26.64,$0.47,56.67
2015-03-31,25.4,$0.11,230.88
2014-12-31,36.62,$1.71,21.41
2014-09-30,30.31,$2.41,12.58
2014-06-30,48.27,$3.75,12.87
2014-03-31,47.65,$4.28,11.13
2013-12-31,49.07,$3.56,13.78
2013-09-30,44.72,$3.50,12.78
2013-06-30,37.68,$2.95,12.77
2013-03-31,38.35,$3.20,11.99
2012-12-31,30.3,$3.26,9.29
2012-09-30,28.21,$2.49,11.33
2012-06-30,27.26,$0.91,29.95
2012-03-31,24.99,$0.03,832.94
2011-12-31,22.82,$-0.39,0.0
2011-09-30,22.6,$-0.03,0.0
2011-06-30,26.63,$0.15,177.53
2011-03-31,28.77,$0.89,32.33
2010-12-31,23.99,$1.53,15.68
2010-09-30,22.7,$2.15,10.56
2010-06-30,19.95,$3.41,5.85
2010-03-31,23.73,$3.67,6.47
2009-12-31,23.0,$3.59,6.41
