Pitney Bowes PE Ratio Historical Data,Pitney Bowes PE Ratio Historical Data,Pitney Bowes PE Ratio Historical Data,Pitney Bowes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.44,,0.0
2024-12-31,7.24,$-1.12,0.0
2024-09-30,7.08,$-2.18,0.0
2024-06-30,5.01,$-1.50,0.0
2024-03-31,4.23,$-2.17,0.0
2023-12-31,4.24,$-2.19,0.0
2023-09-30,2.88,$-0.88,0.0
2023-06-30,3.33,$-0.78,0.0
2023-03-31,3.6,$0.05,71.97
2022-12-31,3.47,$0.21,16.54
2022-09-30,2.1,$0.18,11.66
2022-06-30,3.21,$0.20,16.07
2022-03-31,4.57,$0.29,15.74
2021-12-31,5.76,$-0.01,0.0
2021-09-30,6.23,$0.09,69.17
2021-06-30,7.52,$0.11,68.37
2021-03-31,7.02,$-0.02,0.0
2020-12-31,5.22,$-1.06,0.0
2020-09-30,4.46,$-0.14,0.0
2020-06-30,2.17,$-0.23,0.0
2020-03-31,1.67,$-0.08,0.0
2019-12-31,3.25,$1.13,2.88
2019-09-30,3.65,$0.34,10.73
2019-06-30,3.37,$0.77,4.38
2019-03-31,5.35,$0.90,5.95
2018-12-31,4.57,$1.19,3.84
2018-09-30,5.35,$1.43,3.74
2018-06-30,6.32,$1.33,4.76
2018-03-31,7.87,$1.33,5.91
2017-12-31,7.95,$1.40,5.68
2017-09-30,9.78,$0.48,20.38
2017-06-30,10.39,$0.52,19.98
2017-03-31,8.91,$0.54,16.49
2016-12-31,10.18,$0.49,20.77
2016-09-30,12.02,$1.37,8.77
2016-06-30,11.66,$1.46,7.99
2016-03-31,13.97,$1.93,7.24
2015-12-31,13.25,$2.03,6.53
2015-09-30,12.62,$1.90,6.64
2015-06-30,13.12,$2.11,6.22
2015-03-31,14.58,$1.82,8.01
2014-12-31,15.11,$1.64,9.21
2014-09-30,15.38,$1.77,8.69
2014-06-30,16.87,$1.09,15.48
2014-03-31,15.77,$0.58,27.19
2013-12-31,14.03,$0.69,20.34
2013-09-30,10.87,$0.80,13.58
2013-06-30,8.68,$1.21,7.17
2013-03-31,8.68,$1.76,4.93
2012-12-31,6.05,$2.22,2.72
2012-09-30,7.59,$2.95,2.57
2012-06-30,8.01,$3.43,2.34
2012-03-31,9.18,$3.42,2.68
2011-12-31,9.49,$3.05,3.11
2011-09-30,9.43,$2.08,4.54
2011-06-30,11.31,$1.65,6.85
2011-03-31,12.45,$1.46,8.52
2010-12-31,11.55,$1.42,8.13
2010-09-30,10.05,$1.58,6.36
2010-06-30,10.13,$1.65,6.14
2010-03-31,11.12,$1.92,5.79
2009-12-31,10.19,$2.04,4.99
