Oaktree Specialty Lending PE Ratio Historical Data,Oaktree Specialty Lending PE Ratio Historical Data,Oaktree Specialty Lending PE Ratio Historical Data,Oaktree Specialty Lending PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.69,,23.42
2024-12-31,15.28,$0.67,22.81
2024-09-30,15.75,$0.72,21.87
2024-06-30,17.56,$0.87,20.18
2024-03-31,17.84,$1.34,13.31
2023-12-31,18.01,$1.51,11.93
2023-09-30,17.21,$1.59,10.82
2023-06-30,16.17,$1.20,13.48
2023-03-31,15.19,$0.09,168.98
2022-12-31,16.19,$0.04,405.84
2022-09-30,13.51,$0.48,28.14
2022-06-30,14.37,$0.87,16.52
2022-03-31,15.76,$2.28,6.91
2021-12-31,15.61,$3.84,4.06
2021-09-30,14.46,$4.56,3.17
2021-06-30,13.43,$5.46,2.46
2021-03-31,12.21,$7.23,1.69
2020-12-31,10.77,$1.92,5.61
2020-09-30,9.17,$0.84,10.92
2020-06-30,8.3,$-0.36,0.0
2020-03-31,5.89,$-2.49,0.0
2019-12-31,9.68,$2.40,4.03
2019-09-30,9.03,$2.70,3.34
2019-06-30,9.28,$3.12,2.97
2019-03-31,8.71,$3.21,2.71
2018-12-31,6.99,$2.25,3.1
2018-09-30,8.02,$0.99,8.1
2018-06-30,7.58,$-2.40,0.0
2018-03-31,6.54,$-3.03,0.0
2017-12-31,7.46,$-3.27,0.0
2017-09-30,8.13,$-4.17,0.0
2017-06-30,7.06,$-1.56,0.0
2017-03-31,6.68,$-1.56,0.0
2016-12-31,7.54,$-1.65,0.0
2016-09-30,7.9,$-1.35,0.0
2016-06-30,6.39,$-1.35,0.0
2016-03-31,6.39,$-0.84,0.0
2015-12-31,7.83,$-0.42,0.0
2015-09-30,7.36,$0.24,30.66
2015-06-30,7.6,$0.87,8.73
2015-03-31,8.25,$0.93,8.87
2014-12-31,8.88,$1.05,8.45
2014-09-30,9.86,$2.37,4.16
2014-06-30,10.28,$2.43,4.23
2014-03-31,9.63,$2.64,3.65
2013-12-31,9.17,$2.88,3.18
2013-09-30,9.96,$2.73,3.65
2013-06-30,9.85,$3.06,3.22
2013-03-31,10.11,$3.18,3.18
2012-12-31,9.31,$3.03,3.07
2012-09-30,9.54,$2.85,3.35
2012-06-30,8.44,$0.90,9.37
2012-03-31,8.01,$1.02,7.85
2011-12-31,7.63,$1.11,6.88
2011-09-30,7.2,$1.68,4.28
2011-06-30,8.78,$2.94,2.98
2011-03-31,9.84,$2.82,3.49
2010-12-31,8.74,$2.79,3.13
2010-09-30,7.73,$2.49,3.1
2010-06-30,7.58,$2.97,2.55
2010-03-31,7.77,$3.24,2.4
2009-12-31,7.0,$3.45,2.03
