Servotronics PE Ratio Historical Data,Servotronics PE Ratio Historical Data,Servotronics PE Ratio Historical Data,Servotronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.9,,218.0
2024-09-30,11.3,$0.05,226.0
2024-06-30,11.9,$0.16,74.38
2024-03-31,13.75,$-3.92,0.0
2023-12-31,12.5,$-4.39,0.0
2023-09-30,11.01,$-5.12,0.0
2023-06-30,13.75,$-5.16,0.0
2023-03-31,10.6,$-1.63,0.0
2022-12-31,10.56,$-0.87,0.0
2022-09-30,11.27,$-0.71,0.0
2022-06-30,11.25,$0.76,14.8
2022-03-31,14.65,$1.58,9.27
2021-12-31,12.68,$1.67,7.59
2021-09-30,11.61,$1.64,7.08
2021-06-30,8.54,$-0.45,0.0
2021-03-31,8.57,$-0.54,0.0
2020-12-31,8.49,$0.03,283.0
2020-09-30,7.79,$0.50,15.58
2020-06-30,7.6,$1.72,4.42
2020-03-31,6.79,$1.62,4.19
2019-12-31,10.06,$0.87,11.56
2019-09-30,9.9,$1.23,8.05
2019-06-30,9.6,$1.37,7.01
2019-03-31,12.17,$1.37,8.89
2018-12-31,9.95,$1.47,6.77
2018-09-30,10.84,$1.27,8.54
2018-06-30,9.16,$0.95,9.64
2018-03-31,9.73,$0.70,13.9
2017-12-31,10.94,$0.57,19.2
2017-09-30,8.42,$0.40,21.06
2017-06-30,9.22,$0.27,34.15
2017-03-31,10.75,$0.65,16.54
2016-12-31,9.74,$0.75,12.99
2016-09-30,10.87,$0.90,12.08
2016-06-30,9.54,$1.07,8.91
2016-03-31,7.03,$0.92,7.64
2015-12-31,7.92,$2.04,3.88
2015-09-30,6.84,$1.79,3.82
2015-06-30,6.31,0,0.0
2015-03-31,6.39,$-0.08,0.0
2014-12-31,6.02,$-1.37,0.0
2014-09-30,7.17,$-1.35,0.0
2014-06-30,6.45,$0.27,23.89
2014-03-31,7.18,$0.29,24.76
2013-12-31,7.51,$0.43,17.46
2013-09-30,8.08,$0.46,17.55
2013-06-30,7.23,$0.23,31.44
2013-03-31,7.18,$0.30,23.93
2012-12-31,7.09,$0.25,28.36
2012-09-30,7.68,$0.52,14.77
2012-06-30,7.61,$1.03,7.39
2012-03-31,8.74,$1.08,8.09
2011-12-31,7.87,$1.24,6.34
2011-09-30,7.43,$1.08,6.88
2011-06-30,7.68,$1.04,7.39
2011-03-31,7.4,$1.04,7.11
2009-12-31,7.85,$0.91,8.62
