Humacyte PE Ratio Historical Data,Humacyte PE Ratio Historical Data,Humacyte PE Ratio Historical Data,Humacyte PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.18,,0.0
2024-09-30,5.44,$-1.34,0.0
2024-06-30,4.8,$-1.26,0.0
2024-03-31,3.11,$-1.00,0.0
2023-12-31,2.84,$-1.07,0.0
2023-09-30,2.93,$-0.87,0.0
2023-06-30,2.86,$-0.87,0.0
2023-03-31,3.09,$-0.30,0.0
2022-12-31,2.11,$-0.13,0.0
2022-09-30,3.26,$0.32,10.19
2022-06-30,3.21,$-0.15,0.0
2022-03-31,7.06,$-0.50,0.0
2021-12-31,7.25,$-0.31,0.0
2021-09-30,11.61,$-0.72,0.0
