Olaplex Holdings PE Ratio Historical Data,Olaplex Holdings PE Ratio Historical Data,Olaplex Holdings PE Ratio Historical Data,Olaplex Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.35,,45.0
2024-12-31,1.73,$0.03,57.67
2024-09-30,2.35,$0.06,39.17
2024-06-30,1.54,$0.07,22.0
2024-03-31,1.92,$0.07,27.43
2023-12-31,2.54,$0.09,28.22
2023-09-30,1.95,$0.12,16.25
2023-06-30,3.72,$0.18,20.67
2023-03-31,4.27,$0.30,14.23
2022-12-31,5.21,$0.36,14.47
2022-09-30,9.55,$0.41,23.29
2022-06-30,14.09,$0.40,35.23
