Lithia Motors PE Ratio Historical Data,Lithia Motors PE Ratio Historical Data,Lithia Motors PE Ratio Historical Data,Lithia Motors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,305.02,,10.28
2024-12-31,357.43,$29.68,12.04
2024-09-30,317.19,$29.30,10.83
2024-06-30,251.62,$30.96,8.13
2024-03-31,299.27,$33.87,8.84
2023-12-31,326.97,$36.28,9.01
2023-09-30,292.69,$37.54,7.8
2023-06-30,300.9,$40.00,7.52
2023-03-31,225.99,$40.82,5.54
2022-12-31,201.78,$44.07,4.58
2022-09-30,211.02,$44.64,4.73
2022-06-30,269.87,$42.83,6.3
2022-03-31,294.29,$41.98,7.01
2021-12-31,290.86,$36.24,8.03
2021-09-30,310.2,$33.69,9.21
2021-06-30,335.91,$30.44,11.04
2021-03-31,380.97,$23.07,16.51
2020-12-31,285.6,$19.23,14.85
2020-09-30,222.17,$15.10,14.71
2020-06-30,147.32,$11.88,12.4
2020-03-31,79.4,$11.13,7.13
2019-12-31,142.23,$11.58,12.28
2019-09-30,127.84,$11.23,11.38
2019-06-30,114.44,$11.43,10.01
2019-03-31,89.13,$11.24,7.93
2018-12-31,73.11,$10.89,6.71
2018-09-30,77.95,$11.91,6.54
2018-06-30,89.96,$10.14,8.87
2018-03-31,95.34,$9.82,9.71
2017-12-31,107.45,$9.76,11.01
2017-09-30,113.54,$8.23,13.8
2017-06-30,88.7,$8.30,10.69
2017-03-31,80.39,$8.19,9.82
2016-12-31,90.64,$7.73,11.73
2016-09-30,89.13,$7.50,11.88
2016-06-30,66.11,$7.00,9.44
2016-03-31,80.99,$6.92,11.7
2015-12-31,98.71,$6.90,14.31
2015-09-30,99.88,$6.65,15.02
2015-06-30,104.37,$6.32,16.51
2015-03-31,91.51,$5.84,15.67
2014-12-31,79.66,$5.25,15.17
2014-09-30,69.4,$4.74,14.64
2014-06-30,86.1,$4.61,18.68
2014-03-31,60.69,$4.14,14.66
2013-12-31,63.27,$4.05,15.62
2013-09-30,66.36,$3.77,17.6
2013-06-30,48.39,$3.49,13.87
2013-03-31,42.99,$3.29,13.07
2012-12-31,33.88,$3.07,11.04
2012-09-30,29.99,$3.02,9.93
2012-06-30,20.68,$2.74,7.55
2012-03-31,23.41,$2.51,9.33
2011-12-31,19.48,$2.21,8.81
2011-09-30,12.77,$1.66,7.69
2011-06-30,17.36,$1.41,12.31
2011-03-31,12.84,$0.79,16.26
2010-12-31,12.55,$0.51,24.6
2010-09-30,8.39,$0.29,28.92
2010-06-30,5.37,$0.18,29.84
2010-03-31,5.53,$0.42,13.17
2009-12-31,7.1,$0.43,16.52
