BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.95,,20.24
2024-12-31,31.79,$1.43,22.23
2024-09-30,36.17,$3.94,9.18
2024-06-30,32.03,$3.11,10.3
2024-03-31,34.51,$2.64,13.07
2023-12-31,35.49,$2.67,13.29
2023-09-30,39.84,$3.10,12.85
2023-06-30,48.13,$4.05,11.88
2023-03-31,48.15,$4.09,11.77
2022-12-31,39.33,$4.00,9.83
2022-09-30,30.56,$3.45,8.86
2022-06-30,32.33,$2.69,12.02
2022-03-31,37.53,$2.81,13.36
2021-12-31,43.3,$2.24,19.33
2021-09-30,41.35,$3.22,12.84
2021-06-30,46.27,$3.35,13.81
2021-03-31,44.04,$1.85,23.81
2020-12-31,36.57,$2.21,16.55
2020-09-30,36.51,$1.75,20.86
2020-06-30,33.13,$2.16,15.34
2020-03-31,22.75,$3.46,6.57
2019-12-31,40.28,$3.60,11.19
2019-09-30,33.92,$3.64,9.32
2019-06-30,38.62,$3.68,10.49
2019-03-31,35.17,$4.15,8.47
2018-12-31,31.67,$4.45,7.12
2018-09-30,38.84,$2.65,14.66
2018-06-30,39.03,$2.55,15.31
2018-03-31,45.27,$2.25,20.12
2017-12-31,45.88,$2.07,22.17
2017-09-30,45.87,$1.38,33.24
2017-06-30,37.81,$0.89,42.48
2017-03-31,37.18,$0.65,57.2
2016-12-31,34.97,$0.51,68.57
2016-09-30,31.07,$2.46,12.63
2016-06-30,25.97,$2.77,9.38
2016-03-31,33.65,$2.66,12.65
2015-12-31,37.74,$2.70,13.98
2015-09-30,36.2,$2.75,13.16
2015-06-30,49.32,$2.78,17.74
2015-03-31,52.37,$2.96,17.69
2014-12-31,47.48,$2.86,16.6
2014-09-30,45.35,$2.87,15.8
2014-06-30,56.08,$2.87,19.57
2014-03-31,52.78,$2.79,18.95
2013-12-31,47.89,$2.71,17.7
2013-09-30,43.32,$2.60,16.66
2013-06-30,36.71,$2.30,15.96
2013-03-31,32.96,$2.05,16.08
2012-12-31,30.52,$2.08,14.67
2012-09-30,29.45,$2.07,14.26
2012-06-30,27.95,$2.22,12.62
2012-03-31,35.94,$2.37,15.17
2011-12-31,27.16,$2.23,12.18
2011-09-30,25.8,$2.18,11.86
2011-06-30,34.43,$2.04,16.92
2011-03-31,33.96,$1.72,19.74
2010-12-31,30.84,$1.54,20.09
2010-09-30,22.42,$1.32,17.05
2010-06-30,15.91,$0.96,16.66
2010-03-31,16.27,$0.46,35.37
2009-12-31,14.16,$0.12,123.1
