Delcath Systems PE Ratio Historical Data,Delcath Systems PE Ratio Historical Data,Delcath Systems PE Ratio Historical Data,Delcath Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.0,,0.0
2024-12-31,12.04,$-0.98,0.0
2024-09-30,9.03,$-1.35,0.0
2024-06-30,8.37,$-2.55,0.0
2024-03-31,4.77,$-2.65,0.0
2023-12-31,4.16,$-2.97,0.0
2023-09-30,4.05,$-3.35,0.0
2023-06-30,5.83,$-3.13,0.0
2023-03-31,5.75,$-3.73,0.0
2022-12-31,3.6,$-3.96,0.0
2022-09-30,3.2,$-3.79,0.0
2022-06-30,3.99,$-3.81,0.0
2022-03-31,6.4,$-3.59,0.0
2021-12-31,7.75,$-3.63,0.0
2021-09-30,10.44,$-3.55,0.0
2021-06-30,12.61,$-3.77,0.0
2021-03-31,12.42,$-4.71,0.0
2020-12-31,17.92,$-111.74,0.0
2020-09-30,11.61,$-111.13,0.0
2020-06-30,10.25,"$-1,117.11",0.0
2020-03-31,0.1,"$-1,172.36",0.0
2019-12-31,0.1,"$-1,142.86",0.0
2019-09-30,69.93,"$-1,142.86",0.0
2019-06-30,69.93,$-314.29,0.0
2019-03-31,69.93,"$-5,442.86",0.0
2018-12-31,69.93,"$2,428.57",0.03
2018-09-30,69.93,"$2,428.57",0.03
2018-06-30,69.93,"$-3,340,249.86",0.0
2018-03-31,34965.0,"$-4,566,591.14",0.0
2017-12-31,34965.0,"$-35,362,564.00",0.0
2017-09-30,12237762.24,"$-555,066,964.00",0.0
2017-06-30,24132524.13,"$-633,004,897.00",0.0
2017-03-31,10743260.74,"$-1,174,876,770.00",0.0
2016-12-31,100000000.0,"$-1,301,724,090.00",0.0
2016-09-30,100000000.0,"$-1,235,221,690.00",0.0
2016-06-30,100000000.0,"$-1,390,394,100.00",0.0
2016-03-31,100000000.0,"$-1,438,423,700.00",0.0
2015-12-31,100000000.0,"$-1,911,330,000.00",0.0
2015-09-30,100000000.0,"$-2,068,965,400.00",0.0
2015-06-30,100000000.0,"$-2,778,325,000.00",0.0
2015-03-31,100000000.0,"$-3,187,191,999.00",0.0
2014-12-31,100000000.0,"$-3,556,650,198.00",0.0
2014-09-30,100000000.0,"$-3,945,812,797.00",0.0
2014-06-30,100000000.0,"$-3,999,999,996.00",0.0
2014-03-31,100000000.0,"$-3,999,999,996.00",0.0
2013-12-31,100000000.0,"$-3,999,999,996.00",0.0
2013-09-30,100000000.0,"$-3,999,999,996.00",0.0
2013-06-30,100000000.0,"$-3,999,999,996.00",0.0
2013-03-31,100000000.0,"$-3,999,999,996.00",0.0
2012-12-31,100000000.0,"$-3,999,999,996.00",0.0
2012-09-30,100000000.0,"$-3,999,999,996.00",0.0
2012-06-30,100000000.0,"$-3,999,999,996.00",0.0
2012-03-31,100000000.0,"$-3,999,999,996.00",0.0
2011-12-31,100000000.0,"$-3,999,999,996.00",0.0
2011-09-30,100000000.0,"$-3,999,999,996.00",0.0
2011-06-30,100000000.0,"$-3,999,999,996.00",0.0
2011-03-31,100000000.0,"$-3,999,999,996.00",0.0
2010-12-31,100000000.0,"$-3,999,999,996.00",0.0
2010-09-30,100000000.0,"$-3,999,999,996.00",0.0
2010-06-30,100000000.0,"$-3,999,999,996.00",0.0
2010-03-31,100000000.0,"$-3,999,999,996.00",0.0
2009-12-31,100000000.0,"$-3,999,999,996.00",0.0
