Portillo's PE Ratio Historical Data,Portillo's PE Ratio Historical Data,Portillo's PE Ratio Historical Data,Portillo's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.36,,26.87
2024-12-31,9.4,$0.46,20.43
2024-09-30,13.47,$0.42,32.07
2024-06-30,9.72,$0.38,25.58
2024-03-31,14.18,$0.40,35.45
2023-12-31,15.93,$0.31,51.39
2023-09-30,15.39,$0.26,59.19
2023-06-30,22.53,$0.23,97.96
2023-03-31,21.37,$0.24,89.04
2022-12-31,16.32,$0.25,65.28
2022-09-30,19.69,$-0.35,0.0
