Navigator Holdings PE Ratio Historical Data,Navigator Holdings PE Ratio Historical Data,Navigator Holdings PE Ratio Historical Data,Navigator Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.36,,12.71
2024-09-30,16.02,$1.13,14.18
2024-06-30,17.35,$1.13,15.35
2024-03-31,15.21,$1.17,13.0
2023-12-31,14.41,$1.11,12.98
2023-09-30,14.58,$1.00,14.58
2023-06-30,12.8,$0.77,16.62
2023-03-31,13.77,$0.59,23.34
2022-12-31,11.76,$0.69,17.05
2022-09-30,11.26,$-0.05,0.0
2022-06-30,11.1,$0.02,555.22
2022-03-31,12.01,$-0.15,0.0
2021-12-31,8.72,$-0.45,0.0
2021-09-30,8.75,$0.22,39.79
2021-06-30,10.77,$0.15,71.8
2021-03-31,8.75,$0.19,46.07
2020-12-31,10.77,$-0.00,0.0
2020-09-30,8.22,$-0.11,0.0
2020-06-30,6.32,$-0.19,0.0
2020-03-31,4.39,$-0.38,0.0
2019-12-31,13.25,$-0.30,0.0
2019-09-30,10.5,$-0.32,0.0
2019-06-30,9.21,$-0.26,0.0
2019-03-31,10.82,$-0.18,0.0
2018-12-31,9.25,$-0.11,0.0
2018-09-30,11.9,$-0.01,0.0
2018-06-30,12.44,$-0.04,0.0
2018-03-31,11.56,$0.06,192.61
2017-12-31,9.69,$0.10,96.88
2017-09-30,10.92,$0.21,51.99
2017-06-30,8.16,$0.35,23.32
2017-03-31,13.52,$0.51,26.52
2016-12-31,9.15,$0.81,11.29
2016-09-30,7.07,$1.10,6.43
2016-06-30,11.31,$1.39,8.14
2016-03-31,15.88,$1.66,9.57
2015-12-31,13.43,$1.71,7.85
2015-09-30,13.13,$1.72,7.63
2015-06-30,18.63,$1.74,10.71
2015-03-31,18.79,$1.62,11.6
2014-12-31,20.71,$1.53,13.54
2014-09-30,27.37,$1.31,20.89
2014-06-30,28.9,$1.12,25.8
2014-03-31,25.57,$1.02,25.07
2013-12-31,26.5,$0.89,29.77
2013-09-30,16.97,$0.90,18.85
2013-06-30,15.49,$0.88,17.6
2013-03-31,13.88,$0.81,17.14
2012-12-31,11.47,$0.82,13.99
2012-09-30,9.15,$0.74,12.36
