Check-Cap PE Ratio Historical Data,Check-Cap PE Ratio Historical Data,Check-Cap PE Ratio Historical Data,Check-Cap PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.89,,0.0
2024-06-30,2.01,$-2.24,0.0
2023-12-31,2.08,$-3.00,0.0
2023-09-30,4.26,$-3.02,0.0
2023-06-30,2.86,$-2.62,0.0
2023-03-31,1.43,$-2.24,0.0
2022-12-31,2.2,$-2.68,0.0
2022-09-30,5.8,$-3.24,0.0
2022-06-30,6.18,$-4.00,0.0
2022-03-31,7.76,$-4.40,0.0
2021-12-31,13.49,$-4.20,0.0
2021-09-30,17.53,$-12.20,0.0
2021-06-30,25.6,$-13.20,0.0
2021-03-31,35.2,$-14.40,0.0
2020-12-31,9.2,$-20.20,0.0
2020-09-30,7.21,$-20.20,0.0
2020-06-30,11.93,$-26.80,0.0
2020-03-31,23.4,$-32.60,0.0
2019-12-31,34.4,$-34.60,0.0
2019-09-30,37.6,$-37.00,0.0
2019-06-30,42.4,$-38.60,0.0
2019-03-31,54.0,$-44.40,0.0
2018-12-31,43.0,$-61.00,0.0
2018-09-30,80.0,$-73.80,0.0
2018-06-30,81.0,$-95.01,0.0
2018-03-31,124.3,$-121.83,0.0
2017-12-31,208.75,$-134.84,0.0
2017-09-30,438.82,$-146.46,0.0
2017-06-30,463.2,$-141.66,0.0
2017-03-31,513.6,$-136.85,0.0
2016-12-31,564.0,$-148.86,0.0
2016-09-30,475.2,$-165.67,0.0
2016-06-30,333.6,$-141.66,0.0
2016-03-31,660.02,$-177.67,0.0
2015-12-31,453.6,$-254.50,0.0
