Art's-Way Manufacturing PE Ratio Historical Data,Art's-Way Manufacturing PE Ratio Historical Data,Art's-Way Manufacturing PE Ratio Historical Data,Art's-Way Manufacturing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.69,,0.0
2024-11-30,1.7,$-0.09,0.0
2024-08-31,2.07,$-0.09,0.0
2024-05-31,1.74,$-0.04,0.0
2024-02-29,1.97,$0.02,98.5
2023-11-30,2.06,$0.18,11.44
2023-08-31,2.67,$0.20,13.35
2023-05-31,2.48,$0.20,12.4
2023-02-28,2.13,$0.18,11.83
2022-11-30,1.94,$0.02,97.0
2022-08-31,2.48,$0.09,27.56
2022-05-31,2.59,$0.05,51.8
2022-02-28,4.06,$0.02,203.0
2021-11-30,3.54,$0.04,88.5
2021-08-31,3.37,$-0.15,0.0
2021-05-31,3.29,$-0.26,0.0
2021-02-28,3.15,$-0.45,0.0
2020-11-30,2.49,$-0.48,0.0
2020-08-31,2.36,$-0.42,0.0
2020-05-31,1.94,$-0.39,0.0
2020-02-29,2.07,$-0.29,0.0
2019-11-30,1.84,$-0.33,0.0
2019-08-31,2.03,$-0.63,0.0
2019-05-31,2.0,$-0.74,0.0
2019-02-28,2.15,$-0.82,0.0
2018-11-30,2.39,$-0.81,0.0
2018-08-31,2.75,$-0.47,0.0
2018-05-31,2.75,$-0.28,0.0
2018-02-28,2.6,$-0.24,0.0
2017-11-30,2.7,$-0.17,0.0
2017-08-31,2.1,$-0.17,0.0
2017-05-31,3.04,$-0.22,0.0
2017-02-28,4.0,$-0.11,0.0
2016-11-30,3.25,$-0.03,0.0
2016-08-31,3.08,$-0.07,0.0
2016-05-31,3.05,$-0.23,0.0
2016-02-29,3.1,$-0.16,0.0
2015-11-30,3.04,$-0.14,0.0
2015-08-31,4.21,$-0.01,0.0
2015-05-31,5.0,$0.33,15.15
2015-02-28,4.57,$0.33,13.85
2014-11-30,5.24,$0.23,22.76
2014-08-31,5.28,$0.18,29.31
2014-05-31,5.75,$0.05,115.01
2014-02-28,5.88,$0.12,49.03
2013-11-30,6.18,$0.38,16.28
2013-08-31,6.83,$0.48,14.22
2013-05-31,7.23,$0.71,10.19
2013-02-28,6.55,$0.81,8.09
2012-11-30,5.35,$0.66,8.1
2012-08-31,6.42,$0.62,10.36
2012-05-31,7.12,$0.63,11.31
2012-02-29,7.32,$0.47,15.57
2011-11-30,5.77,$0.30,19.22
2011-08-31,6.63,$0.24,27.62
2011-05-31,7.57,$0.18,42.07
2011-02-28,10.32,$0.14,73.7
2010-11-30,9.04,$0.27,33.48
2010-08-31,5.17,$0.37,13.97
2010-05-31,5.65,$0.20,28.24
2010-02-28,4.42,$0.20,22.12
2009-11-30,3.63,$0.19,19.12
