Moog PE Ratio Historical Data,Moog PE Ratio Historical Data,Moog PE Ratio Historical Data,Moog PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,175.17,,26.66
2024-12-31,196.84,$6.57,29.96
2024-09-30,202.02,$6.41,31.52
2024-06-30,167.3,$6.31,26.51
2024-03-31,159.65,$5.89,27.11
2023-12-31,144.78,$5.37,26.96
2023-09-30,112.96,$5.33,21.19
2023-06-30,108.43,$5.02,21.6
2023-03-31,100.75,$5.27,19.12
2022-12-31,87.76,$4.84,18.13
2022-09-30,70.35,$4.84,14.54
2022-06-30,79.39,$4.99,15.91
2022-03-31,87.8,$4.54,19.34
2021-12-31,80.97,$5.14,15.75
2021-09-30,76.23,$4.87,15.65
2021-06-30,84.06,$1.40,60.04
2021-03-31,82.91,$-0.16,0.0
2020-12-31,78.83,$-0.19,0.0
2020-09-30,62.95,$0.08,786.88
2020-06-30,52.28,$3.79,13.8
2020-03-31,49.87,$5.58,8.94
2019-12-31,83.99,$5.30,15.85
2019-09-30,79.62,$5.11,15.58
2019-06-30,91.57,$4.94,18.54
2019-03-31,84.82,$4.72,17.97
2018-12-31,75.38,$3.91,19.28
2018-09-30,83.38,$2.70,30.88
2018-06-30,75.36,$2.63,28.65
2018-03-31,79.43,$2.61,30.43
2017-12-31,83.71,$3.10,27.0
2017-09-30,80.41,$3.90,20.62
2017-06-30,69.13,$3.75,18.43
2017-03-31,64.91,$3.64,17.83
2016-12-31,63.3,$3.61,17.54
2016-09-30,57.39,$3.48,16.49
2016-06-30,51.97,$3.31,15.7
2016-03-31,44.03,$3.25,13.55
2015-12-31,58.41,$3.20,18.25
2015-09-30,52.11,$3.35,15.56
2015-06-30,68.12,$3.53,19.3
2015-03-31,72.34,$3.67,19.71
2014-12-31,71.35,$3.69,19.34
2014-09-30,65.93,$3.53,18.68
2014-06-30,70.25,$2.94,23.9
2014-03-31,63.14,$2.61,24.19
2013-12-31,65.48,$2.59,25.28
2013-09-30,56.55,$2.64,21.42
2013-06-30,49.67,$3.21,15.47
2013-03-31,44.17,$3.31,13.35
2012-12-31,39.55,$3.28,12.06
2012-09-30,36.5,$3.33,10.96
2012-06-30,39.85,$3.25,12.26
2012-03-31,41.34,$3.13,13.21
2011-12-31,42.34,$3.02,14.02
2011-09-30,31.44,$2.95,10.66
2011-06-30,41.95,$2.83,14.82
2011-03-31,44.25,$2.74,16.15
2010-12-31,38.36,$2.63,14.59
2010-09-30,34.23,$2.37,14.44
2010-06-30,31.06,$2.01,15.45
2010-03-31,34.14,$1.74,19.62
2009-12-31,28.17,$1.74,16.19
