Investors Title PE Ratio Historical Data,Investors Title PE Ratio Historical Data,Investors Title PE Ratio Historical Data,Investors Title PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,242.54,,16.05
2024-09-30,218.14,$15.11,14.44
2024-06-30,170.63,$13.94,12.24
2024-03-31,154.17,$13.24,11.64
2023-12-31,152.73,$11.46,13.33
2023-09-30,135.5,$12.34,10.98
2023-06-30,133.16,$12.76,10.44
2023-03-31,137.26,$9.96,13.78
2022-12-31,133.69,$12.59,10.62
2022-09-30,124.94,$18.56,6.73
2022-06-30,138.59,$22.02,6.29
2022-03-31,178.96,$31.24,5.73
2021-12-31,173.23,$35.28,4.91
2021-09-30,147.81,$34.11,4.33
2021-06-30,141.02,$34.55,4.08
2021-03-31,133.7,$31.78,4.21
2020-12-31,122.9,$20.78,5.91
2020-09-30,95.77,$18.01,5.32
2020-06-30,89.05,$14.14,6.3
2020-03-31,93.62,$9.39,9.97
2019-12-31,115.98,$16.59,6.99
2019-09-30,110.83,$10.66,10.4
2019-06-30,115.29,$12.07,9.55
2019-03-31,108.73,$12.83,8.47
2018-12-31,121.37,$11.54,10.52
2018-09-30,108.9,$16.55,6.58
2018-06-30,119.53,$14.07,8.5
2018-03-31,129.11,$13.40,9.64
2017-12-31,127.86,$13.56,9.43
2017-09-30,113.85,$11.15,10.21
2017-06-30,122.7,$12.31,9.97
2017-03-31,100.14,$11.67,8.58
2016-12-31,100.01,$10.24,9.77
2016-09-30,62.81,$8.69,7.23
2016-06-30,60.0,$6.68,8.98
2016-03-31,57.27,$6.38,8.98
2015-12-31,62.77,$6.31,9.95
2015-09-30,44.99,$6.52,6.9
2015-06-30,44.37,$5.52,8.04
2015-03-31,46.29,$5.12,9.04
2014-12-31,45.53,$4.74,9.6
2014-09-30,45.66,$4.29,10.64
2014-06-30,41.99,$5.67,7.41
2014-03-31,47.24,$5.94,7.95
2013-12-31,50.35,$7.08,7.11
2013-09-30,46.65,$7.71,6.05
2013-06-30,44.01,$6.55,6.72
2013-03-31,42.8,$6.20,6.9
2012-12-31,37.14,$5.25,7.07
2012-09-30,40.33,$4.62,8.73
2012-06-30,35.15,$4.26,8.25
2012-03-31,28.81,$3.43,8.4
2011-12-31,22.02,$3.22,6.84
2011-09-30,21.68,$3.38,6.42
2011-06-30,24.44,$2.87,8.52
2011-03-31,19.47,$3.24,6.01
2010-12-31,18.63,$2.79,6.68
2010-09-30,19.86,$1.89,10.51
2010-06-30,19.27,$1.68,11.47
2010-03-31,20.62,$1.49,13.84
2009-12-31,18.71,$2.11,8.87
