Niu Technologies PE Ratio Historical Data,Niu Technologies PE Ratio Historical Data,Niu Technologies PE Ratio Historical Data,Niu Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.8,,0.0
2024-09-30,2.3,$-0.44,0.0
2024-06-30,1.74,$-0.51,0.0
2024-03-31,1.68,$-0.47,0.0
2023-12-31,2.19,$-0.48,0.0
2023-09-30,2.83,$-0.32,0.0
2023-06-30,3.98,$-0.17,0.0
2023-03-31,4.14,$-0.14,0.0
2022-12-31,5.23,$-0.09,0.0
2022-09-30,4.1,$0.07,58.57
2022-06-30,8.6,$0.24,35.83
2022-03-31,9.66,$0.39,24.77
2021-12-31,16.11,$0.44,36.61
2021-09-30,23.17,$0.46,50.37
2021-06-30,32.65,$0.43,75.93
2021-03-31,36.65,$0.35,104.71
2020-12-31,28.05,$0.31,90.48
2020-09-30,19.2,$0.31,61.94
2020-06-30,16.0,$0.28,57.14
2020-03-31,6.97,$0.28,24.89
2019-12-31,8.53,$0.35,24.37
