Treace Medical Concepts PE Ratio Historical Data,Treace Medical Concepts PE Ratio Historical Data,Treace Medical Concepts PE Ratio Historical Data,Treace Medical Concepts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.22,,0.0
2024-12-31,7.44,$-0.90,0.0
2024-09-30,5.8,$-0.99,0.0
2024-06-30,6.65,$-1.02,0.0
2024-03-31,13.05,$-0.88,0.0
2023-12-31,12.75,$-0.81,0.0
2023-09-30,13.11,$-0.79,0.0
2023-06-30,25.58,$-0.73,0.0
2023-03-31,25.19,$-0.84,0.0
2022-12-31,22.99,$-0.77,0.0
2022-09-30,22.07,$-0.81,0.0
2022-06-30,14.34,$-0.71,0.0
2022-03-31,18.91,$-0.50,0.0
