Costco PE Ratio Historical Data,Costco PE Ratio Historical Data,Costco PE Ratio Historical Data,Costco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,895.4,,52.27
2025-02-28,1048.61,$17.13,61.21
2024-11-30,971.88,$17.03,57.07
2024-08-31,891.2,$16.57,53.78
2024-05-31,807.67,$16.14,50.04
2024-02-29,740.67,$15.29,48.44
2023-11-30,576.35,$14.67,39.29
2023-08-31,533.12,$14.16,37.65
2023-05-31,495.55,$13.50,36.71
2023-02-28,468.06,$13.61,34.39
2022-11-30,520.4,$13.23,39.33
2022-08-31,502.94,$13.14,38.28
2022-05-31,448.36,$12.70,35.3
2022-02-28,498.56,$12.41,40.17
2021-11-30,517.1,$11.63,44.46
2021-08-31,435.97,$11.27,38.68
2021-05-31,361.39,$10.64,33.97
2021-02-28,315.56,$9.78,32.27
2020-11-30,363.39,$9.74,37.31
2020-08-31,321.86,$9.02,35.68
2020-05-31,284.96,$8.36,34.09
2020-02-29,259.12,$8.52,30.41
2019-11-30,275.75,$8.43,32.71
2019-08-31,270.51,$8.26,32.75
2019-05-31,219.39,$8.15,26.92
2019-02-28,199.77,$7.80,25.61
2018-11-30,210.65,$7.38,28.54
2018-08-31,211.83,$7.10,29.84
2018-05-31,179.68,$6.82,26.35
2018-02-28,172.53,$6.71,25.71
2017-11-30,166.25,$6.29,26.43
2017-08-31,140.87,$6.08,23.17
2017-05-31,161.66,$5.77,28.02
2017-02-28,152.12,$5.42,28.07
2016-11-30,128.53,$5.49,23.41
2016-08-31,138.37,$5.34,25.91
2016-05-31,126.66,$5.30,23.9
2016-02-29,127.35,$5.23,24.35
2015-11-30,136.65,$5.34,25.59
2015-08-31,118.26,$5.37,22.02
2015-05-31,120.07,$5.22,23.0
2015-02-28,123.41,$5.12,24.1
2014-11-30,115.2,$4.82,23.9
2014-08-31,97.89,$4.66,21.01
2014-05-31,93.52,$4.48,20.87
2014-02-28,93.86,$4.45,21.09
2013-11-30,100.52,$4.64,21.66
2013-08-31,89.43,$4.63,19.31
2013-05-31,87.41,$4.62,18.92
2013-02-28,80.54,$4.46,18.06
2012-11-30,76.94,$4.12,18.67
2012-08-31,72.25,$3.90,18.53
2012-05-31,63.59,$3.59,17.71
2012-02-29,63.14,$3.44,18.35
2011-11-30,62.4,$3.33,18.74
2011-08-31,57.3,$3.31,17.31
2011-05-31,59.99,$3.20,18.75
2011-02-28,54.23,$3.15,17.22
2010-11-30,48.89,$3.03,16.14
2010-08-31,40.73,$2.92,13.95
2010-05-31,41.84,$2.80,14.94
2010-02-28,43.64,$2.60,16.79
2009-11-30,42.75,$2.48,17.24
