Ubiquiti PE Ratio Historical Data,Ubiquiti PE Ratio Historical Data,Ubiquiti PE Ratio Historical Data,Ubiquiti PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,319.55,,43.42
2024-12-31,331.93,$7.36,45.1
2024-09-30,221.32,$6.46,34.26
2024-06-30,144.95,$5.79,25.04
2024-03-31,114.82,$5.79,19.83
2023-12-31,137.67,$6.16,22.35
2023-09-30,142.53,$6.66,21.4
2023-06-30,171.82,$6.75,25.45
2023-03-31,264.71,$6.56,40.35
2022-12-31,265.93,$5.75,46.25
2022-09-30,284.83,$5.55,51.32
2022-06-30,240.35,$6.12,39.27
2022-03-31,281.23,$7.05,39.89
2021-12-31,295.5,$8.55,34.56
2021-09-30,287.2,$9.43,30.46
2021-06-30,299.66,$9.78,30.64
2021-03-31,285.92,$8.77,32.6
2020-12-31,266.65,$8.05,33.12
2020-09-30,159.31,$6.83,23.33
2020-06-30,166.5,$5.80,28.71
2020-03-31,134.81,$5.36,25.15
2019-12-31,179.57,$5.01,35.84
2019-09-30,112.19,$4.78,23.47
2019-06-30,124.42,$4.51,27.59
2019-03-31,141.37,$4.44,31.84
2018-12-31,93.7,$4.51,20.78
2018-09-30,92.97,$2.76,33.69
2018-06-30,79.45,$2.52,31.53
2018-03-31,64.52,$2.32,27.81
2017-12-31,66.61,$1.77,37.63
2017-09-30,52.54,$3.15,16.68
2017-06-30,48.74,$3.09,15.77
2017-03-31,47.14,$3.04,15.51
2016-12-31,54.21,$2.89,18.76
2016-09-30,50.17,$2.74,18.31
2016-06-30,36.26,$2.49,14.56
2016-03-31,31.2,$1.85,16.87
2015-12-31,29.72,$1.69,17.59
2015-09-30,31.78,$1.64,19.38
2015-06-30,29.93,$1.45,20.64
2015-03-31,27.71,$1.95,14.21
2014-12-31,27.8,$1.99,13.97
2014-09-30,35.02,$1.94,18.05
2014-06-30,42.16,$1.97,21.4
2014-03-31,42.41,$1.74,24.37
2013-12-31,42.88,$1.47,29.17
2013-09-30,31.34,$1.20,26.12
2013-06-30,16.37,$0.89,18.39
2013-03-31,12.8,$0.87,14.71
2012-12-31,11.33,$0.94,12.05
2012-09-30,10.94,$0.90,12.16
