Maximus PE Ratio Historical Data,Maximus PE Ratio Historical Data,Maximus PE Ratio Historical Data,Maximus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.21,,14.45
2024-12-31,74.65,$4.65,16.05
2024-09-30,92.81,$5.00,18.56
2024-06-30,85.09,$4.77,17.84
2024-03-31,83.01,$3.81,21.79
2023-12-31,82.67,$3.02,27.38
2023-09-30,73.34,$2.63,27.89
2023-06-30,82.72,$2.80,29.54
2023-03-31,76.76,$2.81,27.32
2022-12-31,71.28,$3.09,23.07
2022-09-30,56.0,$3.29,17.02
2022-06-30,60.23,$2.99,20.14
2022-03-31,71.91,$3.99,18.02
2021-12-31,76.15,$4.48,17.0
2021-09-30,79.26,$4.66,17.01
2021-06-30,83.52,$4.85,17.22
2021-03-31,84.27,$4.38,19.24
2020-12-31,69.04,$3.52,19.61
2020-09-30,64.29,$3.40,18.91
2020-06-30,65.96,$3.31,19.93
2020-03-31,54.26,$3.24,16.75
2019-12-31,69.09,$3.77,18.33
2019-09-30,71.49,$3.72,19.22
2019-06-30,67.13,$3.50,19.18
2019-03-31,65.45,$3.44,19.03
2018-12-31,59.81,$3.32,18.02
2018-09-30,59.56,$3.35,17.78
2018-06-30,56.82,$3.45,16.47
2018-03-31,61.01,$3.40,17.94
2017-12-31,65.39,$3.36,19.46
2017-09-30,58.88,$3.18,18.52
2017-06-30,57.13,$3.14,18.19
2017-03-31,56.7,$3.07,18.47
2016-12-31,50.82,$3.01,16.88
2016-09-30,51.47,$2.70,19.06
2016-06-30,50.35,$2.46,20.47
2016-03-31,47.83,$2.29,20.89
2015-12-31,51.06,$2.13,23.97
2015-09-30,54.03,$2.36,22.89
2015-06-30,59.58,$2.36,25.25
2015-03-31,60.47,$2.23,27.12
2014-12-31,49.64,$2.24,22.16
2014-09-30,36.29,$2.10,17.28
2014-06-30,38.86,$2.08,18.68
2014-03-31,40.48,$1.99,20.34
2013-12-31,39.65,$1.86,21.38
2013-09-30,40.56,$1.67,24.29
2013-06-30,33.5,$1.50,22.33
2013-03-31,35.93,$1.40,25.75
2012-12-31,28.37,$1.15,24.77
2012-09-30,26.75,$1.10,24.43
2012-06-30,23.14,$1.12,20.66
2012-03-31,18.15,$1.11,16.43
2011-12-31,18.42,$1.16,15.95
2011-09-30,15.51,$1.15,13.52
2011-06-30,18.34,$1.09,16.87
2011-03-31,17.97,$1.05,17.15
2010-12-31,14.49,$1.05,13.76
2010-09-30,13.55,$0.98,13.83
2010-06-30,12.71,$0.80,15.98
2010-03-31,13.35,$0.77,17.45
2009-12-31,10.93,$0.66,16.56
