Kronos Worldwide Inc PE Ratio Historical Data,Kronos Worldwide Inc PE Ratio Historical Data,Kronos Worldwide Inc PE Ratio Historical Data,Kronos Worldwide Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.88,,10.65
2024-12-31,9.75,$0.74,13.18
2024-09-30,12.4,$0.81,15.3
2024-06-30,12.44,$0.01,1243.72
2024-03-31,11.53,$-0.23,0.0
2023-12-31,9.51,$-0.43,0.0
2023-09-30,7.26,$-0.56,0.0
2023-06-30,7.99,$-0.20,0.0
2023-03-31,8.26,$0.27,30.57
2022-12-31,8.28,$0.90,9.2
2022-09-30,8.06,$1.36,5.93
2022-06-30,15.65,$1.49,10.51
2022-03-31,13.07,$1.31,9.98
2021-12-31,12.47,$0.98,12.72
2021-09-30,10.18,$0.79,12.88
2021-06-30,11.58,$0.55,21.06
2021-03-31,12.24,$0.49,24.98
2020-12-31,11.79,$0.55,21.43
2020-09-30,10.04,$0.54,18.59
2020-06-30,8.01,$0.63,12.71
2020-03-31,6.39,$0.72,8.87
2019-12-31,9.96,$0.75,13.28
2019-09-30,9.07,$0.88,10.31
2019-06-30,11.06,$1.00,11.06
2019-03-31,9.98,$1.42,7.03
2018-12-31,8.1,$1.77,4.58
2018-09-30,11.28,$1.97,5.73
2018-06-30,15.51,$2.33,6.66
2018-03-31,15.45,$3.36,4.6
2017-12-31,17.49,$3.07,5.7
2017-09-30,15.41,$2.86,5.39
2017-06-30,12.21,$2.41,5.07
2017-03-31,10.92,$0.72,15.17
2016-12-31,7.85,$0.37,21.22
2016-09-30,5.38,$-0.01,0.0
2016-06-30,3.35,$-0.30,0.0
2016-03-31,3.56,$-1.69,0.0
2015-12-31,3.43,$-1.50,0.0
2015-09-30,3.69,$-1.15,0.0
2015-06-30,6.37,$-0.77,0.0
2015-03-31,7.26,$0.90,8.07
2014-12-31,7.38,$0.86,8.58
2014-09-30,7.72,$0.72,10.72
2014-06-30,8.7,$0.18,48.31
2014-03-31,9.16,$-0.40,0.0
2013-12-31,10.36,$-0.87,0.0
2013-09-30,8.35,$-1.05,0.0
2013-06-30,8.66,$-0.49,0.0
2013-03-31,8.27,$0.36,22.97
2012-12-31,10.21,$1.89,5.4
2012-09-30,7.75,$2.78,2.79
2012-06-30,8.12,$3.22,2.52
2012-03-31,12.72,$3.43,3.71
2011-12-31,9.14,$2.77,3.3
2011-09-30,8.08,$2.36,3.43
2011-06-30,15.7,$1.95,8.05
2011-03-31,14.51,$1.38,10.55
2010-12-31,10.3,$1.29,7.98
2010-09-30,9.6,$1.02,9.46
2010-06-30,4.7,$0.77,6.1
2010-03-31,3.53,$0.35,10.08
2009-12-31,3.91,$-0.36,0.0
