Tanger PE Ratio Historical Data,Tanger PE Ratio Historical Data,Tanger PE Ratio Historical Data,Tanger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.21,,37.02
2024-12-31,34.13,$0.87,39.23
2024-09-30,32.91,$0.86,38.26
2024-06-30,26.63,$0.90,29.59
2024-03-31,28.74,$0.91,31.58
2023-12-31,26.72,$0.92,29.05
2023-09-30,21.53,$0.87,24.74
2023-06-30,20.8,$0.83,25.06
2023-03-31,18.26,$0.79,23.11
2022-12-31,16.49,$0.77,21.42
2022-09-30,12.42,$0.72,17.25
2022-06-30,12.75,$0.39,32.7
2022-03-31,15.24,$0.22,69.26
2021-12-31,16.9,$0.07,241.48
2021-09-30,14.14,$-0.05,0.0
2021-06-30,16.19,$0.20,80.94
2021-03-31,12.87,$-0.07,0.0
2020-12-31,8.38,$-0.41,0.0
2020-09-30,5.07,$-0.54,0.0
2020-06-30,6.0,$-0.43,0.0
2020-03-31,4.02,$-0.03,0.0
2019-12-31,11.58,$0.93,12.45
2019-09-30,11.91,$1.26,9.45
2019-06-30,12.2,$0.77,15.85
2019-03-31,15.5,$0.86,18.02
2018-12-31,14.71,$0.44,33.43
2018-09-30,16.4,$0.57,28.76
2018-06-30,16.59,$0.64,25.92
2018-03-31,15.29,$0.71,21.54
2017-12-31,18.18,$0.70,25.97
2017-09-30,16.5,$0.62,26.61
2017-06-30,17.34,$1.51,11.48
2017-03-31,21.63,$1.96,11.04
2016-12-31,23.39,$2.01,11.64
2016-09-30,25.23,$2.89,8.73
2016-06-30,25.82,$2.63,9.82
2016-03-31,23.17,$2.13,10.88
2015-12-31,20.64,$2.21,9.34
2015-09-30,20.51,$1.26,16.28
2015-06-30,19.55,$1.04,18.8
2015-03-31,21.51,$0.98,21.95
2014-12-31,22.47,$0.77,29.18
2014-09-30,19.76,$0.82,24.09
2014-06-30,20.97,$1.14,18.4
2014-03-31,20.85,$1.12,18.62
2013-12-31,18.95,$1.13,16.77
2013-09-30,19.19,$1.09,17.61
2013-06-30,19.54,$0.69,28.32
2013-03-31,21.0,$0.63,33.33
2012-12-31,19.73,$0.56,35.23
2012-09-30,18.53,$0.52,35.63
2012-06-30,18.25,$0.50,36.49
2012-03-31,16.81,$0.49,34.31
2011-12-31,16.47,$0.51,32.29
2011-09-30,14.5,$0.48,30.22
2011-06-30,14.82,$0.49,30.56
2011-03-31,14.42,$0.42,34.75
2010-12-31,13.96,$0.32,43.64
2010-09-30,12.76,$0.33,39.25
2010-06-30,11.1,$0.21,52.87
2010-03-31,11.47,$0.32,35.85
2009-12-31,10.26,$0.77,13.42
