"Banco Latinoamericano De Comercio Exterior, S.A PE Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A PE Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A PE Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.01,,6.95
2024-09-30,32.02,$5.47,5.85
2024-06-30,28.72,$5.28,5.44
2024-03-31,28.2,$4.94,5.71
2023-12-31,23.13,$4.56,5.07
2023-09-30,19.59,$4.14,4.73
2023-06-30,20.16,$3.63,5.55
2023-03-31,15.66,$3.24,4.83
2022-12-31,14.4,$2.53,5.69
2022-09-30,11.43,$2.22,5.15
2022-06-30,11.42,$1.89,6.04
2022-03-31,13.18,$1.62,8.14
2021-12-31,13.82,$1.63,8.48
2021-09-30,14.39,$1.49,9.66
2021-06-30,12.43,$1.47,8.46
2021-03-31,12.04,$1.47,8.19
2020-12-31,12.4,$1.61,7.7
2020-09-30,9.34,$1.77,5.28
2020-06-30,8.66,$1.90,4.56
2020-03-31,7.58,$2.10,3.61
2019-12-31,15.4,$2.18,7.07
2019-09-30,14.11,$2.14,6.59
2019-06-30,14.47,$0.59,24.53
2019-03-31,13.6,$0.45,30.22
2018-12-31,11.58,$0.28,41.36
2018-09-30,13.69,$0.28,48.91
2018-06-30,15.86,$1.83,8.66
2018-03-31,18.1,$1.85,9.78
2017-12-31,16.87,$2.08,8.11
2017-09-30,18.21,$1.90,9.58
2017-06-30,16.69,$2.09,7.99
2017-03-31,16.68,$2.22,7.52
2016-12-31,17.46,$2.22,7.87
2016-09-30,16.48,$2.47,6.67
2016-06-30,15.28,$2.62,5.83
2016-03-31,13.76,$2.57,5.35
2015-12-31,14.47,$2.71,5.34
2015-09-30,12.74,$3.05,4.18
2015-06-30,17.47,$2.87,6.09
2015-03-31,17.59,$2.88,6.11
2014-12-31,16.14,$2.75,5.87
2014-09-30,16.06,$2.44,6.58
2014-06-30,15.36,$2.35,6.53
2014-03-31,13.49,$2.39,5.64
2013-12-31,14.13,$2.21,6.39
2013-09-30,12.42,$2.23,5.57
2013-06-30,11.03,$1.98,5.57
2013-03-31,12.03,$2.02,5.96
2012-12-31,10.35,$2.45,4.22
2012-09-30,10.46,$2.48,4.22
2012-06-30,10.03,$2.58,3.89
2012-03-31,9.76,$2.67,3.66
2011-12-31,7.32,$2.25,3.25
2011-09-30,6.86,$2.00,3.43
2011-06-30,7.72,$1.97,3.92
2011-03-31,7.69,$1.32,5.83
2010-12-31,8.04,$1.16,6.93
2010-09-30,6.23,$1.06,5.88
2010-06-30,5.32,$1.08,4.93
2010-03-31,6.06,$1.32,4.59
2009-12-31,5.8,$1.50,3.87
