Western New England Bancorp PE Ratio Historical Data,Western New England Bancorp PE Ratio Historical Data,Western New England Bancorp PE Ratio Historical Data,Western New England Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.1,,22.75
2024-12-31,9.2,$0.40,23.0
2024-09-30,8.43,$0.52,16.22
2024-06-30,6.76,$0.64,10.57
2024-03-31,7.46,$0.60,12.43
2023-12-31,8.68,$0.70,12.4
2023-09-30,6.2,$1.00,6.2
2023-06-30,5.52,$1.07,5.16
2023-03-31,7.67,$1.19,6.44
2022-12-31,8.77,$1.19,7.37
2022-09-30,7.49,$1.05,7.13
2022-06-30,6.82,$1.04,6.56
2022-03-31,8.12,$1.03,7.88
2021-12-31,7.9,$1.03,7.67
2021-09-30,7.66,$0.95,8.06
2021-06-30,7.27,$0.76,9.57
2021-03-31,7.48,$0.60,12.46
2020-12-31,6.07,$0.44,13.8
2020-09-30,4.92,$0.37,13.3
2020-06-30,5.01,$0.41,12.23
2020-03-31,5.79,$0.45,12.87
2019-12-31,8.2,$0.50,16.41
2019-09-30,8.08,$0.51,15.84
2019-06-30,7.87,$0.53,14.85
2019-03-31,7.74,$0.59,13.11
2018-12-31,8.37,$0.58,14.44
2018-09-30,8.97,$0.43,20.86
2018-06-30,9.1,$0.42,21.68
2018-03-31,8.78,$0.36,24.39
2017-12-31,8.95,$0.41,21.83
2017-09-30,8.93,$0.49,18.22
2017-06-30,8.29,$0.40,20.72
2017-03-31,8.55,$0.30,28.49
2016-12-31,7.59,$0.24,31.62
2016-09-30,6.18,$0.25,24.74
2016-06-30,6.2,$0.30,20.67
2016-03-31,6.76,$0.36,18.78
2015-12-31,6.71,$0.33,20.34
2015-09-30,6.09,$0.34,17.91
2015-06-30,5.8,$0.33,17.56
2015-03-31,6.11,$0.32,19.08
2014-12-31,5.77,$0.33,17.49
2014-09-30,5.53,$0.33,16.76
2014-06-30,5.79,$0.33,17.56
2014-03-31,5.74,$0.34,16.88
2013-12-31,5.7,$0.33,17.27
2013-09-30,5.35,$0.31,17.26
2013-06-30,5.26,$0.29,18.13
2013-03-31,5.76,$0.25,23.03
2012-12-31,5.31,$0.26,20.42
2012-09-30,5.38,$0.25,21.5
2012-06-30,5.2,$0.25,20.8
2012-03-31,5.51,$0.27,20.42
2011-12-31,5.09,$0.23,22.15
2011-09-30,4.43,$0.22,20.13
2011-06-30,5.41,$0.19,28.47
2011-03-31,5.9,$0.12,49.13
2010-12-31,5.98,$0.12,49.81
2010-09-30,4.92,$0.13,37.82
2010-06-30,5.21,$0.14,37.23
2010-03-31,5.62,$0.19,29.57
2009-12-31,5.01,$0.18,27.85
