On Holding AG PE Ratio Historical Data,On Holding AG PE Ratio Historical Data,On Holding AG PE Ratio Historical Data,On Holding AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.56,,54.89
2024-12-31,54.77,$0.83,65.99
2024-09-30,50.15,$0.72,69.65
2024-06-30,38.8,$0.63,61.59
2024-03-31,35.38,$0.68,52.03
2023-09-30,27.82,$0.28,99.36
2023-06-30,33.0,$0.14,235.71
2023-03-31,31.03,$0.29,107.0
2022-12-31,17.16,$0.18,95.33
2022-09-30,16.05,$0.30,53.5
