Wabash National PE Ratio Historical Data,Wabash National PE Ratio Historical Data,Wabash National PE Ratio Historical Data,Wabash National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.36,,0.0
2024-12-31,17.13,$-6.52,0.0
2024-09-30,19.11,$-5.43,0.0
2024-06-30,21.66,$3.26,6.65
2024-03-31,29.62,$4.16,7.12
2023-12-31,25.26,$4.81,5.25
2023-09-30,20.74,$4.58,4.53
2023-06-30,25.1,$4.15,6.05
2023-03-31,23.99,$3.07,7.81
2022-12-31,21.97,$2.27,9.68
2022-09-30,15.05,$0.92,16.36
2022-06-30,13.06,$0.41,31.85
2022-03-31,14.18,$0.19,74.65
2021-12-31,18.58,$0.01,1858.32
2021-09-30,14.33,$0.62,23.11
2021-06-30,15.07,$0.47,32.06
2021-03-31,17.63,$0.23,76.65
2020-12-31,16.09,$-1.84,0.0
2020-09-30,11.17,$-1.60,0.0
2020-06-30,9.77,$-1.21,0.0
2020-03-31,6.56,$-0.65,0.0
2019-12-31,13.35,$1.63,8.19
2019-09-30,13.04,$1.50,8.69
2019-06-30,14.55,$1.12,12.99
2019-03-31,12.05,$1.10,10.95
2018-12-31,11.56,$1.18,9.8
2018-09-30,16.04,$1.77,9.06
2018-06-30,16.36,$1.99,8.22
2018-03-31,18.17,$1.81,10.04
2017-12-31,18.88,$1.78,10.61
2017-09-30,19.81,$1.34,14.78
2017-06-30,19.03,$1.55,12.28
2017-03-31,17.86,$1.72,10.38
2016-12-31,13.6,$1.82,7.47
2016-09-30,12.25,$1.96,6.25
2016-06-30,10.92,$1.92,5.69
2016-03-31,11.35,$1.80,6.31
2015-12-31,10.17,$1.53,6.65
2015-09-30,9.11,$1.30,7.0
2015-06-30,10.78,$1.08,9.98
2015-03-31,12.12,$0.90,13.47
2014-12-31,10.63,$0.85,12.5
2014-09-30,11.45,$0.73,15.69
2014-06-30,12.25,$0.71,17.26
2014-03-31,11.83,$0.68,17.4
2013-12-31,10.62,$0.66,16.09
2013-09-30,10.03,$1.67,6.0
2013-06-30,8.75,$1.71,5.12
2013-03-31,8.74,$1.56,5.6
2012-12-31,7.71,$1.55,4.98
2012-09-30,6.13,$0.50,12.26
2012-06-30,5.69,$0.25,22.77
2012-03-31,8.9,$0.25,35.6
2011-12-31,6.74,$0.23,29.31
2011-09-30,4.1,$0.19,21.59
2011-06-30,8.06,$0.14,57.55
2011-03-31,9.96,$-0.63,0.0
2010-12-31,10.19,$-5.32,0.0
2010-09-30,6.96,$-5.11,0.0
2010-06-30,6.11,$-7.31,0.0
2010-03-31,6.03,$-7.18,0.0
2009-12-31,1.63,$-3.48,0.0
