GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,203.93,,34.05
2024-12-31,166.79,$5.99,27.84
2024-09-30,188.58,$5.69,33.14
2024-06-30,158.46,$4.22,37.55
2024-03-31,139.26,$3.05,45.66
2023-12-31,101.26,$8.37,12.1
2023-09-30,87.65,$8.87,9.88
2023-06-30,86.97,$8.43,10.32
2023-03-31,75.69,$7.67,9.87
2022-12-31,66.28,$-0.03,0.0
2022-09-30,48.92,$-5.53,0.0
2022-06-30,50.25,$-4.24,0.0
2022-03-31,72.13,$-4.58,0.0
2021-12-31,74.4,$-6.23,0.0
2021-09-30,81.07,$-0.52,0.0
2021-06-30,84.66,$-2.72,0.0
2021-03-31,82.52,$-3.68,0.0
2020-12-31,67.83,$4.56,14.87
2020-09-30,39.09,$2.88,13.57
2020-06-30,42.79,$-4.64,0.0
2020-03-31,49.66,$-2.64,0.0
2019-12-31,69.73,$-4.96,0.0
2019-09-30,55.81,$-4.88,0.0
2019-06-30,65.48,$-17.20,0.0
2019-03-31,62.24,$-16.56,0.0
2018-12-31,45.43,$-20.96,0.0
2018-09-30,67.67,$-30.56,0.0
2018-06-30,80.81,$-7.92,0.0
2018-03-31,79.33,$-7.44,0.0
2017-12-31,101.84,$-5.76,0.0
2017-09-30,140.16,$6.40,21.9
2017-06-30,155.01,$6.48,23.92
2017-03-31,169.61,$7.84,21.63
2016-12-31,178.43,$7.20,24.78
2016-09-30,166.0,$9.20,18.04
2016-06-30,175.07,$9.44,18.55
2016-03-31,175.47,$6.00,29.25
2015-12-31,170.6,$-4.72,0.0
2015-09-30,137.09,$-5.76,0.0
2015-06-30,143.13,$-4.96,0.0
2015-03-31,132.54,$-1.12,0.0
2014-12-31,133.76,$12.08,11.07
2014-09-30,134.39,$11.28,11.91
2014-06-30,136.7,$10.96,12.47
2014-03-31,133.58,$10.56,12.65
2013-12-31,143.37,$10.88,13.18
2013-09-30,121.22,$10.64,11.39
2013-06-30,116.76,$10.80,10.81
2013-03-31,115.46,$10.72,10.77
2012-12-31,103.97,$10.32,10.08
2012-09-30,111.49,$10.08,11.06
2012-06-30,101.54,$9.20,11.04
2012-03-31,96.94,$9.68,10.01
2011-12-31,85.75,$9.92,8.64
2011-09-30,72.19,$10.48,6.89
2011-06-30,88.63,$10.16,8.72
2011-03-31,93.47,$9.60,9.74
2010-12-31,84.69,$8.40,10.08
2010-09-30,74.66,$7.28,10.26
2010-06-30,65.77,$7.68,8.56
2010-03-31,82.49,$7.36,11.21
2009-12-31,68.15,$8.08,8.43
