ORTHOFIX MEDICAL INC PE Ratio Historical Data,ORTHOFIX MEDICAL INC PE Ratio Historical Data,ORTHOFIX MEDICAL INC PE Ratio Historical Data,ORTHOFIX MEDICAL INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.9,,0.0
2024-12-31,17.46,$-3.29,0.0
2024-09-30,15.62,$-3.13,0.0
2024-06-30,13.26,$-3.19,0.0
2024-03-31,14.52,$-3.38,0.0
2023-12-31,13.48,$-4.14,0.0
2023-09-30,12.86,$-3.90,0.0
2023-06-30,18.06,$-3.66,0.0
2023-03-31,16.75,$-2.47,0.0
2022-12-31,20.53,$-0.98,0.0
2022-09-30,19.11,$-2.28,0.0
2022-06-30,23.54,$-1.86,0.0
2022-03-31,32.7,$-1.86,0.0
2021-12-31,31.09,$-1.94,0.0
2021-09-30,38.12,$-0.77,0.0
2021-06-30,40.11,$-0.42,0.0
2021-03-31,43.35,$-1.50,0.0
2020-12-31,42.98,$0.12,358.17
2020-09-30,31.14,$1.20,25.95
2020-06-30,32.0,$-1.18,0.0
2020-03-31,28.01,$-0.25,0.0
2019-12-31,46.18,$-1.52,0.0
2019-09-30,53.02,$-1.66,0.0
2019-06-30,52.88,$0.41,128.98
2019-03-31,56.41,$0.49,115.12
2018-12-31,52.49,$0.71,73.93
2018-09-30,57.81,$0.33,175.18
2018-06-30,56.82,$0.59,96.31
2018-03-31,58.78,$0.75,78.37
2017-12-31,54.7,$0.33,165.76
2017-09-30,47.25,$0.07,675.0
2017-06-30,46.48,$0.42,110.67
2017-03-31,38.15,$-0.20,0.0
2016-12-31,36.18,$0.16,226.13
2016-09-30,42.77,$0.52,82.25
2016-06-30,42.4,$-0.09,0.0
2016-03-31,41.52,$0.51,81.41
2015-12-31,39.21,$-0.15,0.0
2015-09-30,33.75,$-0.64,0.0
2015-06-30,33.12,$-0.55,0.0
2015-03-31,35.89,$-0.78,0.0
2014-12-31,30.06,$-0.37,0.0
2014-09-30,30.96,$-0.66,0.0
2014-06-30,36.25,$-1.77,0.0
2014-03-31,30.15,$-1.85,0.0
2013-12-31,22.82,$-1.70,0.0
2013-09-30,20.77,$-0.06,0.0
2013-06-30,26.9,$1.42,18.94
2013-03-31,35.87,$2.12,16.92
2012-12-31,39.33,$2.64,14.9
2012-09-30,44.75,$2.26,19.8
2012-06-30,41.25,$2.53,16.3
2012-03-31,37.58,$2.49,15.09
2011-12-31,35.23,$-0.14,0.0
2011-09-30,34.51,$-0.35,0.0
2011-06-30,42.47,$-0.53,0.0
2011-03-31,32.46,$-0.50,0.0
2010-12-31,29.0,$2.49,11.65
2010-09-30,31.42,$2.59,12.13
2010-06-30,32.05,$2.47,12.98
2010-03-31,36.38,$2.25,16.17
2009-12-31,30.93,$1.43,21.63
