Vinci Partners Investments PE Ratio Historical Data,Vinci Partners Investments PE Ratio Historical Data,Vinci Partners Investments PE Ratio Historical Data,Vinci Partners Investments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.33,,16.66
2024-09-30,9.93,$0.62,16.02
2024-06-30,10.9,$0.59,18.47
2024-03-31,11.3,$0.81,13.95
2023-12-31,10.95,$0.76,14.41
2023-09-30,10.2,$0.73,13.97
2023-06-30,9.32,$0.85,10.96
2023-03-31,8.13,$0.70,11.61
2022-12-31,9.04,$0.74,12.22
2022-09-30,10.27,$0.73,14.07
2022-06-30,10.53,$0.67,15.72
2022-03-31,13.41,$0.68,19.72
2021-12-31,10.19,$0.70,14.56
