Genius Group PE Ratio Historical Data,Genius Group PE Ratio Historical Data,Genius Group PE Ratio Historical Data,Genius Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.32,,inf
2024-06-30,0.28,0,0.0
2023-12-31,0.66,$-1.00,0.0
2023-06-30,0.7,$-1.00,0.0
