NioCorp Developments PE Ratio Historical Data,NioCorp Developments PE Ratio Historical Data,NioCorp Developments PE Ratio Historical Data,NioCorp Developments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.72,,0.0
2024-12-31,1.55,$-0.77,0.0
2024-09-30,2.18,$-0.85,0.0
2024-06-30,1.73,$-0.89,0.0
2024-03-31,2.72,$-0.37,0.0
2023-12-31,3.19,$-1.26,0.0
2023-09-30,3.63,$-1.17,0.0
2023-06-30,5.03,$-1.08,0.0
2023-03-31,6.36,$-1.00,0.0
2022-12-31,10.01,0,0.0
2022-09-30,9.81,0,0.0
2022-06-30,9.78,0,0.0
2022-03-31,9.76,0,0.0
