Carriage Services PE Ratio Historical Data,Carriage Services PE Ratio Historical Data,Carriage Services PE Ratio Historical Data,Carriage Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.32,,18.25
2024-12-31,39.85,$2.10,18.98
2024-09-30,32.73,$2.23,14.68
2024-06-30,26.66,$1.90,14.03
2024-03-31,26.74,$2.03,13.17
2023-12-31,24.62,$2.15,11.45
2023-09-30,27.68,$1.93,14.34
2023-06-30,31.7,$2.01,15.77
2023-03-31,29.67,$2.17,13.67
2022-12-31,26.68,$2.60,10.26
2022-09-30,31.01,$2.84,10.92
2022-06-30,38.12,$3.17,12.02
2022-03-31,51.13,$2.15,23.78
2021-12-31,61.64,$1.86,33.14
2021-09-30,42.56,$1.55,27.46
2021-06-30,35.19,$1.15,30.6
2021-03-31,33.41,$1.84,18.16
2020-12-31,29.65,$0.90,32.94
2020-09-30,21.04,$0.58,36.28
2020-06-30,17.03,$0.30,56.75
2020-03-31,15.1,$0.21,71.92
2019-12-31,23.87,$0.80,29.83
2019-09-30,19.0,$0.52,36.54
2019-06-30,17.61,$0.60,29.35
2019-03-31,17.77,$0.48,37.01
2018-12-31,14.25,$0.64,22.26
2018-09-30,19.72,$2.09,9.44
2018-06-30,22.4,$2.15,10.42
2018-03-31,25.16,$2.24,11.23
2017-12-31,23.32,$2.11,11.05
2017-09-30,23.15,$1.02,22.7
2017-06-30,24.33,$1.18,20.62
2017-03-31,24.43,$1.24,19.7
2016-12-31,25.75,$1.12,22.99
2016-09-30,21.22,$1.21,17.54
2016-06-30,21.2,$1.12,18.93
2016-03-31,19.33,$1.06,18.23
2015-12-31,21.53,$1.13,19.05
2015-09-30,19.27,$1.11,17.36
2015-06-30,21.29,$1.13,18.84
2015-03-31,21.26,$1.06,20.05
2014-12-31,18.63,$0.84,22.18
2014-09-30,15.39,$0.77,19.99
2014-06-30,15.2,$0.83,18.31
2014-03-31,16.15,$0.89,18.15
2013-12-31,17.28,$1.02,16.94
2013-09-30,17.14,$1.00,17.14
2013-06-30,14.95,$0.71,21.06
2013-03-31,18.72,$0.63,29.72
2012-12-31,10.44,$0.62,16.84
2012-09-30,8.49,$0.44,19.28
2012-06-30,7.28,$0.45,16.18
2012-03-31,6.58,$0.44,14.96
2011-12-31,4.86,$0.38,12.8
2011-09-30,5.12,$0.48,10.66
2011-06-30,4.87,$0.49,9.94
2011-03-31,4.72,$0.48,9.84
2010-12-31,4.16,$0.46,9.04
2010-09-30,4.29,$0.44,9.76
2010-06-30,3.99,$0.44,9.08
2010-03-31,3.94,$0.43,9.17
2009-12-31,3.37,$0.40,8.42
