Dolby Laboratories PE Ratio Historical Data,Dolby Laboratories PE Ratio Historical Data,Dolby Laboratories PE Ratio Historical Data,Dolby Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,81.87,,30.1
2024-12-31,78.1,$2.72,28.71
2024-09-30,76.21,$2.71,28.12
2024-06-30,78.58,$2.19,35.88
2024-03-31,82.78,$1.96,42.23
2023-12-31,84.84,$1.93,43.96
2023-09-30,77.76,$2.06,37.75
2023-06-30,81.81,$2.25,36.36
2023-03-31,83.24,$2.47,33.7
2022-12-31,68.52,$1.85,37.04
2022-09-30,63.05,$1.80,35.03
2022-06-30,69.02,$1.94,35.58
2022-03-31,75.2,$2.07,36.33
2021-12-31,91.25,$2.44,37.4
2021-09-30,84.08,$2.97,28.31
2021-06-30,93.7,$2.81,33.34
2021-03-31,93.89,$2.95,31.83
2020-12-31,92.16,$3.08,29.92
2020-09-30,62.73,$2.25,27.88
2020-06-30,62.15,$2.42,25.68
2020-03-31,50.94,$2.14,23.8
2019-12-31,64.45,$1.98,32.55
2019-09-30,60.36,$2.44,24.74
2019-06-30,60.13,$2.48,24.24
2019-03-31,58.43,$2.88,20.29
2018-12-31,57.21,$2.84,20.15
2018-09-30,64.56,$1.11,58.16
2018-06-30,56.78,$0.85,66.8
2018-03-31,58.34,$0.80,72.93
2017-12-31,56.77,$0.63,90.11
2017-09-30,52.52,$1.94,27.07
2017-06-30,44.59,$1.96,22.75
2017-03-31,47.6,$1.85,25.73
2016-12-31,40.92,$2.02,20.26
2016-09-30,49.02,$1.81,27.08
2016-06-30,43.1,$2.01,21.44
2016-03-31,39.04,$1.73,22.57
2015-12-31,30.13,$1.63,18.48
2015-09-30,29.09,$1.73,16.81
2015-06-30,35.3,$1.74,20.29
2015-03-31,33.87,$1.78,19.03
2014-12-31,38.17,$1.95,19.58
2014-09-30,36.91,$1.98,18.64
2014-06-30,38.15,$1.98,19.27
2014-03-31,39.3,$1.89,20.79
2013-12-31,34.05,$1.76,19.35
2013-09-30,30.48,$1.83,16.65
2013-06-30,29.54,$1.88,15.71
2013-03-31,29.64,$2.07,14.32
2012-12-31,25.9,$2.19,11.83
2012-09-30,25.64,$2.36,10.86
2012-06-30,32.33,$2.58,12.53
2012-03-31,29.79,$2.65,11.24
2011-12-31,23.88,$2.65,9.01
2011-09-30,21.48,$2.74,7.84
2011-06-30,33.24,$2.60,12.78
2011-03-31,38.52,$2.60,14.82
2010-12-31,52.21,$2.62,19.93
2010-09-30,44.47,$2.45,18.15
2010-06-30,49.07,$2.26,21.71
2010-03-31,45.93,$2.15,21.36
2009-12-31,37.36,$2.01,18.59
