Shenandoah Telecommunications Co PE Ratio Historical Data,Shenandoah Telecommunications Co PE Ratio Historical Data,Shenandoah Telecommunications Co PE Ratio Historical Data,Shenandoah Telecommunications Co PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.45,,3.28
2024-12-31,12.61,$3.79,3.33
2024-09-30,14.01,$3.89,3.6
2024-06-30,16.22,$4.05,4.0
2024-03-31,17.25,$4.33,3.98
2023-12-31,21.47,$0.16,134.2
2023-09-30,20.39,$0.07,291.34
2023-06-30,19.23,$-0.01,0.0
2023-03-31,18.82,$-0.11,0.0
2022-12-31,15.71,$-0.16,0.0
2022-09-30,16.77,$-0.09,0.0
2022-06-30,21.88,$17.77,1.23
2022-03-31,23.24,$18.90,1.23
2021-12-31,25.13,$19.94,1.26
2021-09-30,31.04,$20.89,1.49
2021-06-30,29.18,$3.78,7.72
2021-03-31,29.36,$3.29,8.93
2020-12-31,26.02,$2.53,10.28
2020-09-30,26.54,$1.82,14.58
2020-06-30,29.44,$1.41,20.88
2020-03-31,29.42,$1.09,26.99
2019-12-31,24.85,$1.10,22.6
2019-09-30,18.83,$1.13,16.66
2019-06-30,22.83,$1.15,19.85
2019-03-31,26.29,$1.05,25.03
2018-12-31,26.22,$0.87,30.14
2018-09-30,22.82,$1.78,12.82
2018-06-30,19.26,$1.54,12.5
2018-03-31,21.2,$1.38,15.36
2017-12-31,19.9,$1.33,14.96
2017-09-30,21.75,$0.12,181.27
2017-06-30,17.95,$-0.11,0.0
2017-03-31,16.4,$-0.25,0.0
2016-12-31,15.96,$-0.02,0.0
2016-09-30,15.75,$0.22,71.58
2016-06-30,22.61,$0.55,41.48
2016-03-31,15.48,$0.90,17.2
2015-12-31,12.46,$0.83,15.01
2015-09-30,12.26,$0.77,16.03
2015-06-30,9.81,$0.77,12.82
2015-03-31,8.93,$0.73,12.31
2014-12-31,8.95,$0.70,12.88
2014-09-30,6.99,$0.66,10.68
2014-06-30,8.59,$0.63,13.63
2014-03-31,9.1,$0.62,14.68
2013-12-31,7.24,$0.62,11.77
2013-09-30,6.7,$0.59,11.45
2013-06-30,4.63,$0.48,9.76
2013-03-31,4.23,$0.43,9.96
2012-12-31,4.25,$0.35,12.33
2012-09-30,4.77,$0.32,14.92
2012-06-30,3.69,$0.36,10.4
2012-03-31,3.02,$0.31,9.91
2011-12-31,2.84,$0.28,10.34
2011-09-30,2.94,$0.25,11.78
2011-06-30,4.5,$0.27,16.66
2011-03-31,4.77,$0.30,15.91
2010-12-31,4.95,$0.38,13.03
2010-09-30,4.72,$0.46,10.38
2010-06-30,4.61,$0.51,9.13
2010-03-31,4.89,$0.56,8.81
2009-12-31,5.29,$0.32,16.53
