Zevra Therapeutics PE Ratio Historical Data,Zevra Therapeutics PE Ratio Historical Data,Zevra Therapeutics PE Ratio Historical Data,Zevra Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.01,,0.0
2024-12-31,8.34,$-1.57,0.0
2024-09-30,6.94,$-1.97,0.0
2024-06-30,4.9,$-1.68,0.0
2024-03-31,5.8,$-1.35,0.0
2023-12-31,6.55,$-1.29,0.0
2023-09-30,4.82,$-1.15,0.0
2023-06-30,5.1,$-0.94,0.0
2023-03-31,5.5,$-1.49,0.0
2022-12-31,4.59,$-1.20,0.0
2022-09-30,6.24,$-0.94,0.0
2022-06-30,4.46,$-0.81,0.0
2022-03-31,5.03,$-0.51,0.0
2021-12-31,8.71,$-2.95,0.0
2021-09-30,9.33,$-2.95,0.0
2021-06-30,12.82,$-3.53,0.0
2021-03-31,9.2,$-2.97,0.0
2020-12-31,0.21,$-2.40,0.0
2020-09-30,3.3,$-5.28,0.0
2020-06-30,3.3,$-3.68,0.0
2020-03-31,3.6,$-9.12,0.0
2019-12-31,6.07,$-14.56,0.0
2019-09-30,11.02,$-14.88,0.0
2019-06-30,28.0,$-30.88,0.0
2019-03-31,26.72,$-40.16,0.0
2018-12-31,28.48,$-61.12,0.0
2018-09-30,76.8,$-69.44,0.0
2018-06-30,104.0,$-65.28,0.0
2018-03-31,126.4,$-57.76,0.0
2017-12-31,64.8,$-42.88,0.0
2017-09-30,59.2,$-42.24,0.0
2017-06-30,64.0,$-46.08,0.0
2017-03-31,78.4,$-48.32,0.0
2016-12-31,47.2,$-38.08,0.0
2016-09-30,71.84,$-37.44,0.0
2016-06-30,63.68,$-33.60,0.0
2016-03-31,232.0,$-63.52,0.0
